year,tmID,confID,rank,firstRound,semis,finals,o_fgm,o_ftm,o_dreb,o_reb,o_asts,o_pf,o_stl,o_blk,d_fgm,d_ftm,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_blk,won_x,lost_x,GP,confW,confL,win_loss_ratio,ORtg,DRtg,NRtg,TSht_x,OReb,DReb,Reb,3PtR,PPG_x,playoff_qualification,W,L,points,rebounds,assists,steals,blocks,turnovers,TSht_y,AstTO,RebP,ORebP,DRebP,StlR,BlkR,PPG_y,num_awards,won_y,lost_y,post_wins,post_losses
9,CHI,EA,6.0,0.0,0.0,0.0,925.0,489.0,782.0,1165.0,597.0,634.0,262.0,112.0,963.0,501.0,184.0,481.0,1225.0,584.0,683.0,242.0,138.0,14.0,20.0,34.0,6.0,14.0,0.412,0.928,0.963,-0.035,0.486,0.312,0.688,0.312,0.342,74.265,0.0,,,1900.5,889.0,489.0,214.0,82.0,347.0,0.454,1.019,0.141,0.041,0.1,0.034,0.01,5.651,1.0,10.0,13.5,0.0,2.5
10,CHI,EA,5.0,0.0,0.0,0.0,899.0,564.0,770.0,1127.0,548.0,639.0,269.0,149.0,917.0,506.0,170.0,508.0,1160.0,531.0,681.0,255.0,124.0,12.0,22.0,34.0,10.0,10.0,0.353,0.942,0.948,-0.006,0.503,0.31,0.69,0.31,0.323,72.706,0.0,,,2103.4,947.8,468.0,221.0,127.7,417.7,0.476,0.993,0.152,0.043,0.107,0.035,0.019,6.202,0.0,12.0,22.0,0.0,0.0
2,CLE,EA,2.0,1.0,0.0,0.0,809.0,426.0,603.0,934.0,539.0,647.0,259.0,91.0,774.0,455.0,119.0,368.0,873.0,540.0,693.0,305.0,95.0,17.0,15.0,32.0,13.0,8.0,0.531,0.956,0.926,0.03,0.526,0.357,0.643,0.357,0.346,68.281,1.0,3.0,3.0,2197.5,995.5,486.0,276.5,95.0,522.0,0.52,0.927,0.142,0.052,0.089,0.035,0.012,5.45,0.0,17.0,15.0,3.0,3.0
3,CLE,EA,1.0,0.0,0.0,0.0,763.0,372.0,662.0,959.0,503.0,532.0,267.0,83.0,664.0,328.0,132.0,417.0,891.0,434.0,597.0,225.0,127.0,22.0,10.0,32.0,15.0,6.0,0.688,0.937,0.836,0.101,0.503,0.333,0.667,0.333,0.316,62.625,1.0,1.0,2.0,1813.0,875.0,401.0,246.0,71.0,374.0,0.465,0.846,0.158,0.053,0.105,0.034,0.026,5.139,0.0,22.0,10.0,1.0,2.0
4,CLE,EA,7.0,0.0,0.0,0.0,760.0,430.0,674.0,969.0,480.0,567.0,221.0,83.0,797.0,397.0,149.0,441.0,918.0,530.0,613.0,242.0,109.0,10.0,22.0,32.0,7.0,14.0,0.312,0.933,0.967,-0.034,0.502,0.316,0.684,0.316,0.324,64.719,0.0,,,1941.8,916.4,457.0,208.0,64.0,415.0,0.473,0.905,0.158,0.057,0.099,0.028,0.01,6.58,0.0,10.0,22.0,0.0,0.0
4,CON,EA,7.35,0.0,0.0,0.0,746.6,394.05,630.55,937.5,448.95,564.2,221.0,94.0,732.3,383.7,138.2,382.4,916.95,444.6,587.55,227.3,96.45,10.0,11.9,32.0,6.65,14.35,0.31,0.89,0.91,-0.06,0.49,0.3,0.66,0.3,0.3,64.74,0.0,,,2155.8,945.4,545.0,319.0,103.0,419.0,0.495,1.229,0.147,0.051,0.095,0.041,0.019,7.3,0.0,11.4,9.4,0.0,2.65
5,CON,EA,3.0,1.0,0.0,0.0,864.0,479.0,762.0,1095.0,520.0,663.0,270.0,111.0,864.0,509.0,172.0,536.0,1178.0,553.0,669.0,252.0,88.0,18.0,16.0,34.0,11.0,13.0,0.529,0.958,0.96,-0.002,0.5,0.291,0.709,0.291,0.322,70.118,1.0,2.0,2.0,2012.0,905.0,360.5,202.0,92.0,355.5,0.46,0.937,0.136,0.04,0.092,0.029,0.009,6.048,0.0,18.0,16.0,2.0,2.0
6,CON,EA,1.0,1.0,1.0,0.0,876.0,434.0,724.0,1045.0,572.0,610.0,299.0,96.0,858.0,443.0,145.0,384.0,1063.0,565.0,627.0,239.0,113.0,18.0,16.0,34.0,14.0,6.0,0.529,0.952,0.942,0.01,0.505,0.298,0.702,0.298,0.319,68.676,1.0,5.0,3.0,2390.3,1158.0,594.0,313.0,159.0,505.3,0.484,1.101,0.147,0.045,0.101,0.038,0.017,6.14,0.0,18.0,16.0,5.0,3.0
7,CON,EA,1.0,1.0,1.0,1.0,916.0,512.0,788.0,1110.0,573.0,624.0,236.0,130.0,835.0,452.0,122.0,400.0,1078.0,495.0,675.0,258.0,79.0,26.0,8.0,34.0,13.0,7.0,0.765,1.007,0.914,0.093,0.531,0.307,0.693,0.307,0.349,72.765,1.0,5.0,3.0,2433.0,1053.0,522.0,224.0,119.0,416.0,0.456,0.928,0.143,0.043,0.096,0.027,0.011,5.63,1.0,26.0,8.0,5.0,3.0
8,CON,EA,1.0,1.0,0.0,0.0,982.0,545.0,926.0,1268.0,630.0,530.0,252.0,153.0,948.0,358.0,163.0,508.0,1153.0,528.0,646.0,273.0,103.0,26.0,8.0,34.0,15.0,5.0,0.765,0.999,0.898,0.101,0.534,0.304,0.696,0.304,0.341,78.912,1.0,3.0,2.0,2317.6,1160.9,549.0,231.0,148.0,426.9,0.486,1.115,0.176,0.053,0.12,0.033,0.015,6.066,1.0,26.0,8.0,3.0,2.0
9,CON,EA,3.0,0.0,0.0,0.0,1001.0,478.0,868.0,1222.0,619.0,641.0,272.0,156.0,976.0,475.0,166.0,485.0,1179.0,581.0,633.0,246.0,85.0,18.0,16.0,34.0,10.0,10.0,0.529,0.961,0.933,0.028,0.515,0.296,0.704,0.296,0.341,78.676,1.0,1.0,2.0,2221.0,924.0,546.0,221.0,53.0,447.0,0.481,0.957,0.124,0.031,0.093,0.029,0.005,5.693,0.0,18.0,16.0,1.0,2.0
10,CON,EA,2.0,0.0,0.0,0.0,965.0,539.0,869.0,1239.0,607.0,629.0,211.0,97.0,955.0,472.0,159.0,496.0,1200.0,554.0,703.0,252.0,104.0,21.0,13.0,34.0,13.0,7.0,0.618,0.989,0.94,0.049,0.516,0.306,0.694,0.306,0.33,79.118,1.0,1.0,2.0,3029.8,1304.6,665.0,262.0,114.4,558.4,0.499,1.055,0.156,0.045,0.108,0.031,0.012,7.262,0.0,21.0,13.0,1.0,2.0
2,DET,EA,5.0,0.0,0.0,0.0,868.0,519.0,644.0,985.0,503.0,701.0,260.0,88.0,905.0,480.0,136.0,372.0,971.0,513.0,672.0,284.0,148.0,14.0,18.0,32.0,10.0,11.0,0.438,0.941,0.984,-0.043,0.509,0.348,0.652,0.348,0.278,72.844,0.0,,,2069.75,894.75,426.0,220.75,62.0,470.0,0.485,0.734,0.13,0.044,0.082,0.031,0.006,5.966,0.0,9.65,8.9,0.0,2.35
3,DET,EA,7.0,0.0,0.0,0.0,774.0,412.0,621.0,945.0,469.0,602.0,225.0,82.0,848.0,446.0,127.0,340.0,981.0,438.0,591.0,262.0,109.0,10.0,22.0,32.0,7.0,14.0,0.312,0.904,0.988,-0.084,0.489,0.316,0.684,0.316,0.353,65.719,0.0,,,2042.0,930.0,429.0,211.0,79.0,475.0,0.454,0.773,0.127,0.04,0.088,0.026,0.01,5.076,0.0,20.0,27.95,0.0,2.05
4,DET,EA,8.0,0.0,0.0,0.0,766.0,472.0,719.0,1079.0,478.0,609.0,201.0,132.0,828.0,464.0,146.0,447.0,983.0,465.0,637.0,277.0,139.0,9.0,23.0,32.0,6.0,15.0,0.281,0.886,0.952,-0.066,0.479,0.35,0.65,0.35,0.302,66.062,0.0,,,2285.6,1110.8,504.0,253.0,171.0,584.0,0.449,0.868,0.147,0.05,0.096,0.036,0.021,6.13,0.0,9.0,13.0,0.0,0.0
5,DET,EA,1.0,1.0,1.0,1.0,902.0,624.0,851.0,1230.0,545.0,605.0,263.0,158.0,911.0,412.0,161.0,541.0,1064.0,504.0,774.0,309.0,129.0,25.0,9.0,34.0,18.0,6.0,0.735,0.974,0.908,0.066,0.534,0.36,0.64,0.36,0.387,75.088,1.0,6.0,2.0,2753.0,1416.0,632.5,305.0,174.0,660.5,0.471,0.804,0.147,0.045,0.099,0.032,0.016,5.998,2.0,25.0,9.0,6.0,2.0
6,DET,EA,3.0,0.0,0.0,0.0,874.0,556.0,773.0,1170.0,564.0,648.0,277.0,148.0,860.0,470.0,191.0,533.0,1055.0,515.0,728.0,289.0,131.0,17.0,17.0,34.0,11.0,9.0,0.5,0.924,0.939,-0.015,0.484,0.352,0.648,0.352,0.297,69.588,1.0,1.0,2.0,3257.15,1465.0,763.0,356.0,174.0,676.15,0.47,1.168,0.134,0.041,0.093,0.032,0.015,7.294,0.0,17.0,17.0,1.0,2.0
7,DET,EA,4.0,0.0,0.0,0.0,831.0,509.0,803.0,1215.0,474.0,761.0,241.0,155.0,784.0,565.0,154.0,456.0,1018.0,473.0,744.0,272.0,136.0,16.0,18.0,34.0,11.0,9.0,0.471,0.878,0.906,-0.028,0.468,0.356,0.644,0.356,0.319,66.088,1.0,0.0,2.0,2162.0,1089.0,431.0,239.0,154.0,523.0,0.413,0.779,0.149,0.046,0.102,0.032,0.022,6.432,0.0,16.0,18.0,0.0,2.0
8,DET,EA,2.0,1.0,1.0,1.0,919.0,553.0,880.0,1286.0,572.0,711.0,213.0,137.0,840.0,529.0,175.0,561.0,1084.0,474.0,733.0,275.0,108.0,23.0,11.0,34.0,14.0,6.0,0.676,0.943,0.898,0.045,0.496,0.348,0.652,0.348,0.329,74.324,1.0,7.0,3.0,2708.6,1361.9,614.0,261.0,100.0,559.9,0.47,0.887,0.182,0.063,0.116,0.033,0.014,6.175,2.0,23.0,11.0,7.0,3.0
9,DET,EA,1.0,1.0,1.0,0.0,972.0,595.0,931.0,1311.0,563.0,702.0,227.0,117.0,895.0,547.0,203.0,610.0,1089.0,546.0,767.0,276.0,117.0,24.0,10.0,34.0,14.0,6.0,0.706,0.967,0.908,0.059,0.517,0.328,0.672,0.328,0.357,79.324,1.0,6.0,5.0,3305.0,1621.0,620.0,324.0,166.0,641.0,0.477,0.789,0.163,0.051,0.112,0.033,0.014,6.251,2.0,24.0,10.0,6.0,5.0
10,DET,EA,1.0,1.0,1.0,1.0,974.0,556.0,843.0,1248.0,604.0,724.0,278.0,118.0,872.0,563.0,215.0,616.0,1085.0,520.0,762.0,229.0,119.0,22.0,12.0,34.0,16.0,4.0,0.647,0.985,0.926,0.059,0.509,0.347,0.653,0.347,0.353,78.588,1.0,7.0,2.0,3579.6,1707.2,763.0,412.0,150.55,680.55,0.499,1.074,0.173,0.052,0.12,0.04,0.014,6.964,1.0,37.2,24.0,7.0,5.0
2,HOU,WE,2.0,1.0,1.0,1.0,891.0,521.0,724.0,997.0,494.0,554.0,284.0,104.0,786.0,370.0,124.0,418.0,902.0,473.0,648.0,233.0,85.0,27.0,5.0,32.0,17.0,4.0,0.844,1.058,0.879,0.179,0.569,0.308,0.692,0.308,0.35,77.344,1.0,6.0,0.0,1366.0,757.0,199.0,164.0,59.0,276.0,0.519,0.644,0.141,0.043,0.094,0.03,0.008,4.478,1.0,27.0,5.0,6.0,0.0
3,HOU,WE,4.0,0.0,0.0,0.0,747.0,415.0,710.0,1058.0,426.0,509.0,251.0,95.0,740.0,362.0,152.0,456.0,982.0,452.0,561.0,248.0,120.0,19.0,13.0,32.0,13.0,8.0,0.594,0.917,0.89,0.027,0.477,0.337,0.663,0.337,0.317,63.969,1.0,0.0,2.0,3077.0,1326.0,723.0,452.0,143.0,623.0,0.464,1.029,0.144,0.041,0.103,0.048,0.015,7.2,3.0,19.0,13.0,0.0,2.0
4,HOU,WE,2.0,0.0,0.0,0.0,755.0,453.0,702.0,1001.0,450.0,467.0,260.0,126.0,705.0,331.0,151.0,489.0,973.0,446.0,606.0,262.0,71.0,24.0,8.0,32.0,16.0,5.0,0.75,0.946,0.847,0.099,0.509,0.31,0.69,0.31,0.328,64.75,1.0,1.0,2.0,2923.4,1111.2,691.0,301.0,121.0,569.0,0.484,1.029,0.128,0.035,0.091,0.032,0.014,8.146,3.0,24.0,8.0,1.0,2.0
5,HOU,WE,2.0,0.0,0.0,0.0,828.0,473.0,764.0,1030.0,465.0,490.0,231.0,129.0,824.0,325.0,169.0,500.0,1006.0,516.0,634.0,227.0,122.0,20.0,14.0,34.0,14.0,10.0,0.588,0.949,0.908,0.041,0.515,0.273,0.727,0.273,0.334,66.0,1.0,1.0,2.0,2475.0,1036.0,498.0,259.0,140.0,485.0,0.476,0.898,0.138,0.044,0.094,0.033,0.014,6.42,2.0,20.0,14.0,1.0,2.0
6,HOU,WE,6.0,0.0,0.0,0.0,798.0,458.0,724.0,1035.0,451.0,555.0,242.0,107.0,834.0,391.0,152.0,434.0,1055.0,539.0,655.0,258.0,129.0,13.0,21.0,34.0,7.0,15.0,0.382,0.916,0.93,-0.014,0.494,0.302,0.698,0.302,0.344,64.029,0.0,,,2455.45,1103.0,547.0,268.0,95.0,484.45,0.49,1.073,0.141,0.042,0.097,0.033,0.009,6.802,0.0,13.0,21.0,0.0,0.0
7,HOU,WE,3.0,1.0,0.0,0.0,860.0,527.0,684.0,960.0,467.0,581.0,246.0,105.0,848.0,419.0,148.0,423.0,961.0,541.0,685.0,197.0,111.0,19.0,15.0,34.0,11.0,11.0,0.559,0.973,0.944,0.029,0.519,0.287,0.713,0.287,0.302,67.912,1.0,2.0,3.0,2079.0,935.0,526.0,232.0,99.0,416.0,0.463,1.194,0.146,0.045,0.1,0.034,0.016,5.724,2.0,19.0,15.0,2.0,3.0
8,HOU,WE,3.0,0.0,0.0,0.0,928.0,482.0,822.0,1125.0,532.0,617.0,252.0,84.0,928.0,445.0,148.0,496.0,1124.0,526.0,705.0,298.0,89.0,18.0,16.0,34.0,11.0,9.0,0.529,0.943,0.912,0.031,0.523,0.278,0.722,0.278,0.358,73.735,1.0,0.0,2.0,2814.6,1282.9,506.0,302.0,103.0,571.9,0.502,0.779,0.158,0.046,0.11,0.039,0.01,6.673,2.0,11.0,3.0,1.0,2.0
9,HOU,WE,5.0,0.0,0.0,0.0,915.0,554.0,770.0,1144.0,558.0,655.0,289.0,109.0,924.0,578.0,202.0,581.0,1063.0,588.0,677.0,310.0,160.0,13.0,21.0,34.0,10.0,12.0,0.382,0.921,0.962,-0.041,0.509,0.342,0.658,0.342,0.345,73.824,0.0,,,2587.0,1188.0,502.0,262.0,102.0,563.0,0.485,0.78,0.146,0.043,0.103,0.036,0.01,6.415,0.0,13.0,21.0,0.0,0.0
2,IND,EA,7.0,0.0,0.0,0.0,796.0,428.0,647.0,932.0,501.0,642.0,271.0,126.0,839.0,503.0,109.0,358.0,954.0,528.0,612.0,267.0,75.0,9.0,23.0,32.0,7.0,14.0,0.281,0.953,0.988,-0.035,0.53,0.31,0.69,0.31,0.37,69.156,0.0,,,2145.25,940.25,460.0,284.25,92.0,486.0,0.489,0.816,0.138,0.045,0.091,0.034,0.014,5.794,0.0,9.65,8.9,0.0,2.35
3,IND,EA,6.0,0.0,0.0,0.0,762.0,472.0,649.0,935.0,458.0,600.0,242.0,118.0,853.0,412.0,131.0,367.0,966.0,565.0,616.0,256.0,140.0,10.0,22.0,32.0,7.0,14.0,0.312,0.941,0.971,-0.03,0.517,0.302,0.698,0.302,0.352,67.281,0.0,,,1685.0,692.0,341.0,177.0,66.0,391.0,0.483,0.846,0.121,0.036,0.085,0.036,0.011,4.81,0.0,10.0,22.0,0.0,0.0
4,IND,EA,4.0,0.0,0.0,0.0,731.0,455.0,633.0,948.0,447.0,559.0,268.0,100.0,804.0,359.0,162.0,464.0,932.0,507.0,647.0,226.0,145.0,16.0,16.0,32.0,12.0,9.0,0.5,0.952,0.959,-0.007,0.504,0.328,0.672,0.328,0.331,65.531,1.0,1.0,2.0,2144.6,1032.8,477.0,278.0,124.0,437.0,0.474,1.132,0.134,0.041,0.091,0.037,0.017,5.917,1.0,16.0,16.0,1.0,2.0
5,IND,EA,5.0,0.0,0.0,0.0,839.0,449.0,654.0,988.0,539.0,668.0,299.0,121.0,837.0,490.0,157.0,421.0,986.0,570.0,631.0,227.0,170.0,16.0,18.0,34.0,12.0,12.0,0.471,0.974,0.97,0.004,0.517,0.33,0.67,0.33,0.35,68.735,0.0,,,2594.0,1045.0,519.9,287.0,133.0,448.9,0.509,1.305,0.133,0.045,0.088,0.043,0.019,6.889,0.0,14.0,7.5,0.0,2.5
6,IND,EA,6.0,0.0,0.0,0.0,791.0,450.0,705.0,1101.0,555.0,639.0,261.0,134.0,804.0,516.0,121.0,352.0,969.0,514.0,603.0,268.0,162.0,15.0,19.0,34.0,8.0,12.0,0.441,0.933,0.953,-0.02,0.485,0.365,0.635,0.365,0.345,64.647,0.0,,,2316.45,1149.0,525.0,292.0,133.0,486.45,0.466,0.92,0.147,0.049,0.095,0.039,0.014,6.133,1.0,15.0,19.0,0.0,0.0
7,IND,EA,2.0,1.0,0.0,0.0,784.0,452.0,671.0,1012.0,493.0,668.0,336.0,95.0,775.0,460.0,123.0,367.0,990.0,435.0,644.0,234.0,113.0,21.0,13.0,34.0,14.0,6.0,0.618,0.921,0.904,0.017,0.489,0.324,0.676,0.324,0.321,63.824,1.0,2.0,2.0,2257.0,986.0,550.0,319.0,76.0,489.0,0.47,0.974,0.13,0.04,0.088,0.037,0.011,5.928,1.0,21.0,13.0,2.0,2.0
8,IND,EA,3.0,0.0,0.0,0.0,873.0,518.0,755.0,1094.0,501.0,606.0,354.0,93.0,883.0,413.0,137.0,444.0,1061.0,507.0,685.0,259.0,105.0,21.0,13.0,34.0,12.0,8.0,0.618,0.926,0.885,0.041,0.499,0.305,0.695,0.305,0.31,71.618,1.0,0.0,2.0,2946.2,1308.3,576.0,408.0,146.0,579.3,0.488,0.958,0.157,0.05,0.106,0.042,0.022,7.778,2.0,21.0,13.0,0.0,2.0
9,IND,EA,2.0,1.0,0.0,0.0,907.0,478.0,812.0,1153.0,511.0,646.0,308.0,136.0,881.0,450.0,158.0,483.0,1164.0,475.0,663.0,280.0,114.0,21.0,13.0,34.0,12.0,8.0,0.618,0.923,0.878,0.045,0.509,0.3,0.7,0.3,0.344,72.941,1.0,3.0,3.0,2844.5,1279.0,605.0,378.0,171.0,664.0,0.538,0.906,0.152,0.043,0.109,0.041,0.02,6.767,1.0,17.0,15.0,0.0,2.0
10,IND,EA,4.0,0.0,0.0,0.0,876.0,495.0,778.0,1127.0,500.0,727.0,324.0,165.0,891.0,540.0,135.0,415.0,1171.0,477.0,659.0,294.0,130.0,17.0,17.0,34.0,12.0,8.0,0.5,0.915,0.907,0.008,0.501,0.295,0.705,0.295,0.341,72.735,1.0,1.0,2.0,2583.4,1338.8,514.0,354.0,161.7,575.7,0.473,0.807,0.178,0.069,0.108,0.038,0.021,6.592,1.0,17.0,17.0,1.0,2.0
2,LAS,WE,1.0,1.0,0.0,0.0,861.0,545.0,783.0,1091.0,586.0,705.0,271.0,156.0,776.0,495.0,122.0,413.0,978.0,445.0,650.0,243.0,105.0,28.0,4.0,32.0,17.0,4.0,0.875,0.999,0.884,0.115,0.535,0.312,0.688,0.312,0.332,75.531,1.0,2.0,2.0,2696.5,1282.5,631.0,301.5,174.0,514.0,0.515,1.179,0.156,0.045,0.11,0.038,0.018,7.997,0.0,28.0,4.0,2.0,2.0
3,LAS,WE,1.0,1.0,1.0,1.0,916.0,449.0,755.0,1105.0,596.0,616.0,281.0,138.0,779.0,416.0,192.0,603.0,921.0,538.0,591.0,234.0,114.0,28.0,4.0,32.0,19.0,2.0,0.875,1.025,0.908,0.117,0.532,0.358,0.642,0.358,0.367,76.281,1.0,6.0,1.0,2586.0,1140.0,537.0,274.0,148.0,468.0,0.5,1.077,0.159,0.054,0.105,0.039,0.013,6.919,3.0,28.0,4.0,6.0,1.0
4,LAS,WE,1.0,1.0,1.0,1.0,891.0,476.0,814.0,1143.0,583.0,664.0,257.0,161.0,796.0,480.0,163.0,521.0,959.0,508.0,623.0,275.0,111.0,25.0,7.0,32.0,17.0,4.0,0.781,0.991,0.907,0.084,0.536,0.338,0.662,0.338,0.377,76.625,1.0,6.0,0.0,3265.6,1477.8,695.0,332.0,212.0,653.0,0.49,0.947,0.147,0.048,0.097,0.034,0.017,7.214,3.0,25.0,7.0,6.0,0.0
5,LAS,WE,1.0,1.0,1.0,0.0,894.0,537.0,813.0,1149.0,587.0,682.0,242.0,161.0,866.0,504.0,196.0,540.0,1105.0,572.0,654.0,241.0,127.0,24.0,10.0,34.0,17.0,7.0,0.706,0.971,0.933,0.038,0.512,0.299,0.701,0.299,0.33,73.5,1.0,5.0,4.0,2814.0,1298.0,722.5,286.0,181.0,619.5,0.48,0.864,0.14,0.039,0.097,0.029,0.015,7.569,1.0,52.0,25.0,5.0,9.0
6,LAS,WE,1.0,0.0,0.0,0.0,904.0,530.0,809.0,1121.0,626.0,731.0,262.0,148.0,815.0,557.0,174.0,511.0,1066.0,532.0,704.0,288.0,114.0,25.0,9.0,34.0,16.0,6.0,0.735,0.958,0.903,0.055,0.523,0.3,0.7,0.3,0.379,73.382,1.0,1.0,2.0,2797.15,1224.0,649.0,279.0,155.0,533.15,0.47,0.992,0.132,0.034,0.097,0.03,0.012,6.842,2.0,24.6,24.5,0.0,6.0
7,LAS,WE,4.0,0.0,0.0,0.0,873.0,456.0,683.0,1004.0,551.0,737.0,264.0,136.0,818.0,527.0,182.0,519.0,1041.0,567.0,654.0,247.0,115.0,17.0,17.0,34.0,12.0,10.0,0.5,0.934,0.946,-0.012,0.501,0.312,0.688,0.312,0.32,68.412,1.0,0.0,2.0,2029.0,936.0,553.0,227.0,123.0,441.0,0.485,0.948,0.116,0.026,0.087,0.028,0.01,4.986,1.0,4.0,2.0,0.0,2.0
8,LAS,WE,1.0,1.0,0.0,0.0,962.0,540.0,852.0,1202.0,610.0,679.0,296.0,129.0,873.0,534.0,196.0,570.0,1082.0,565.0,636.0,284.0,128.0,25.0,9.0,34.0,15.0,5.0,0.735,0.954,0.91,0.044,0.512,0.319,0.681,0.319,0.294,75.735,1.0,2.0,3.0,2511.4,1301.6,530.0,294.0,104.0,493.6,0.472,0.984,0.172,0.053,0.117,0.036,0.011,5.931,1.0,14.0,6.0,0.0,0.0
