year,tmID,confID,rank,firstRound,semis,finals,o_fgm,o_ftm,o_dreb,o_reb,o_asts,o_pf,o_stl,o_blk,d_fgm,d_ftm,d_3pm,d_3pa,d_reb,d_asts,d_pf,d_stl,d_blk,won,lost,GP,confW,confL,win_loss_ratio,ORtg,DRtg,NRtg,TSht,OReb,DReb,Reb,3PtR,PPG,playoff_qualification
4,CLE,EA,4,0,0,0,815,464,720,1069,517,639,226,86,809,465,127,355,1004,510,659,223,135,17,17,34,13,11,0.5,0.939,0.936,0.003,0.494,0.331,0.669,0.331,0.318,65.559,1.0
4,CON,EA,3,1,0,0,864,479,762,1095,520,663,270,111,864,509,172,536,1178,553,669,252,88,18,16,34,11,13,0.529,0.958,0.96,-0.002,0.5,0.291,0.709,0.291,0.322,70.118,1.0
5,CON,EA,1,1,1,0,876,434,724,1045,572,610,299,96,858,443,145,384,1063,565,627,239,113,18,16,34,14,6,0.529,0.952,0.942,0.01,0.505,0.298,0.702,0.298,0.319,68.676,1.0
6,CON,EA,1,1,1,1,916,512,788,1110,573,624,236,130,835,452,122,400,1078,495,675,258,79,26,8,34,13,7,0.765,1.007,0.914,0.093,0.531,0.307,0.693,0.307,0.349,72.765,1.0
7,CON,EA,1,1,0,0,982,545,926,1268,630,530,252,153,948,358,163,508,1153,528,646,273,103,26,8,34,15,5,0.765,0.999,0.898,0.101,0.534,0.304,0.696,0.304,0.341,78.912,1.0
8,CON,EA,3,0,0,0,1001,478,868,1222,619,641,272,156,976,475,166,485,1179,581,633,246,85,18,16,34,10,10,0.529,0.961,0.933,0.028,0.515,0.296,0.704,0.296,0.341,78.676,1.0
9,CON,EA,2,0,0,0,965,539,869,1239,607,629,211,97,955,472,159,496,1200,554,703,252,104,21,13,34,13,7,0.618,0.989,0.94,0.049,0.516,0.306,0.694,0.306,0.33,79.118,1.0
10,CON,EA,6,0,0,0,966,517,826,1184,608,677,250,130,953,591,157,488,1274,525,684,248,125,16,18,34,10,12,0.471,0.953,0.953,0.0,0.494,0.275,0.725,0.275,0.316,77.971,0.0
1,DET,EA,5,0,0,0,868,519,644,985,503,701,260,88,905,480,136,372,971,513,672,284,148,14,18,32,10,11,0.438,0.941,0.984,-0.043,0.509,0.348,0.652,0.348,0.278,72.844,0.0
2,DET,EA,7,0,0,0,774,412,621,945,469,602,225,82,848,446,127,340,981,438,591,262,109,10,22,32,7,14,0.312,0.904,0.988,-0.084,0.489,0.316,0.684,0.316,0.353,65.719,0.0
3,DET,EA,8,0,0,0,766,472,719,1079,478,609,201,132,828,464,146,447,983,465,637,277,139,9,23,32,6,15,0.281,0.886,0.952,-0.066,0.479,0.35,0.65,0.35,0.302,66.062,0.0
4,DET,EA,1,1,1,1,902,624,851,1230,545,605,263,158,911,412,161,541,1064,504,774,309,129,25,9,34,18,6,0.735,0.974,0.908,0.066,0.534,0.36,0.64,0.36,0.387,75.088,1.0
5,DET,EA,3,0,0,0,874,556,773,1170,564,648,277,148,860,470,191,533,1055,515,728,289,131,17,17,34,11,9,0.5,0.924,0.939,-0.015,0.484,0.352,0.648,0.352,0.297,69.588,1.0
6,DET,EA,4,0,0,0,831,509,803,1215,474,761,241,155,784,565,154,456,1018,473,744,272,136,16,18,34,11,9,0.471,0.878,0.906,-0.028,0.468,0.356,0.644,0.356,0.319,66.088,1.0
7,DET,EA,2,1,1,1,919,553,880,1286,572,711,213,137,840,529,175,561,1084,474,733,275,108,23,11,34,14,6,0.676,0.943,0.898,0.045,0.496,0.348,0.652,0.348,0.329,74.324,1.0
8,DET,EA,1,1,1,0,972,595,931,1311,563,702,227,117,895,547,203,610,1089,546,767,276,117,24,10,34,14,6,0.706,0.967,0.908,0.059,0.517,0.328,0.672,0.328,0.357,79.324,1.0
9,DET,EA,1,1,1,1,974,556,843,1248,604,724,278,118,872,563,215,616,1085,520,762,229,119,22,12,34,16,4,0.647,0.985,0.926,0.059,0.509,0.347,0.653,0.347,0.353,78.588,1.0
10,DET,EA,3,1,0,0,980,539,853,1226,575,766,261,97,902,632,208,611,1101,524,716,279,110,18,16,34,11,11,0.529,0.958,0.955,0.003,0.511,0.323,0.677,0.323,0.351,78.0,1.0
1,HOU,WE,2,1,1,1,891,521,724,997,494,554,284,104,786,370,124,418,902,473,648,233,85,27,5,32,17,4,0.844,1.058,0.879,0.179,0.569,0.308,0.692,0.308,0.35,77.344,1.0
2,HOU,WE,4,0,0,0,747,415,710,1058,426,509,251,95,740,362,152,456,982,452,561,248,120,19,13,32,13,8,0.594,0.917,0.89,0.027,0.477,0.337,0.663,0.337,0.317,63.969,1.0
3,HOU,WE,2,0,0,0,755,453,702,1001,450,467,260,126,705,331,151,489,973,446,606,262,71,24,8,32,16,5,0.75,0.946,0.847,0.099,0.509,0.31,0.69,0.31,0.328,64.75,1.0
4,HOU,WE,2,0,0,0,828,473,764,1030,465,490,231,129,824,325,169,500,1006,516,634,227,122,20,14,34,14,10,0.588,0.949,0.908,0.041,0.515,0.273,0.727,0.273,0.334,66.0,1.0
5,HOU,WE,6,0,0,0,798,458,724,1035,451,555,242,107,834,391,152,434,1055,539,655,258,129,13,21,34,7,15,0.382,0.916,0.93,-0.014,0.494,0.302,0.698,0.302,0.344,64.029,0.0
6,HOU,WE,3,1,0,0,860,527,684,960,467,581,246,105,848,419,148,423,961,541,685,197,111,19,15,34,11,11,0.559,0.973,0.944,0.029,0.519,0.287,0.713,0.287,0.302,67.912,1.0
7,HOU,WE,3,0,0,0,928,482,822,1125,532,617,252,84,928,445,148,496,1124,526,705,298,89,18,16,34,11,9,0.529,0.943,0.912,0.031,0.523,0.278,0.722,0.278,0.358,73.735,1.0
8,HOU,WE,5,0,0,0,915,554,770,1144,558,655,289,109,924,578,202,581,1063,588,677,310,160,13,21,34,10,12,0.382,0.921,0.962,-0.041,0.509,0.342,0.658,0.342,0.345,73.824,0.0
9,HOU,WE,5,0,0,0,923,563,803,1179,556,728,295,120,903,582,218,580,1092,542,744,313,165,17,17,34,10,10,0.5,0.928,0.953,-0.025,0.505,0.336,0.664,0.336,0.316,75.324,0.0
1,IND,EA,7,0,0,0,796,428,647,932,501,642,271,126,839,503,109,358,954,528,612,267,75,9,23,32,7,14,0.281,0.953,0.988,-0.035,0.53,0.31,0.69,0.31,0.37,69.156,0.0
2,IND,EA,6,0,0,0,762,472,649,935,458,600,242,118,853,412,131,367,966,565,616,256,140,10,22,32,7,14,0.312,0.941,0.971,-0.03,0.517,0.302,0.698,0.302,0.352,67.281,0.0
3,IND,EA,4,0,0,0,731,455,633,948,447,559,268,100,804,359,162,464,932,507,647,226,145,16,16,32,12,9,0.5,0.952,0.959,-0.007,0.504,0.328,0.672,0.328,0.331,65.531,1.0
4,IND,EA,5,0,0,0,839,449,654,988,539,668,299,121,837,490,157,421,986,570,631,227,170,16,18,34,12,12,0.471,0.974,0.97,0.004,0.517,0.33,0.67,0.33,0.35,68.735,0.0
5,IND,EA,6,0,0,0,791,450,705,1101,555,639,261,134,804,516,121,352,969,514,603,268,162,15,19,34,8,12,0.441,0.933,0.953,-0.02,0.485,0.365,0.635,0.365,0.345,64.647,0.0
6,IND,EA,2,1,0,0,784,452,671,1012,493,668,336,95,775,460,123,367,990,435,644,234,113,21,13,34,14,6,0.618,0.921,0.904,0.017,0.489,0.324,0.676,0.324,0.321,63.824,1.0
7,IND,EA,3,0,0,0,873,518,755,1094,501,606,354,93,883,413,137,444,1061,507,685,259,105,21,13,34,12,8,0.618,0.926,0.885,0.041,0.499,0.305,0.695,0.305,0.31,71.618,1.0
8,IND,EA,2,1,0,0,907,478,812,1153,511,646,308,136,881,450,158,483,1164,475,663,280,114,21,13,34,12,8,0.618,0.923,0.878,0.045,0.509,0.3,0.7,0.3,0.344,72.941,1.0
9,IND,EA,4,0,0,0,876,495,778,1127,500,727,324,165,891,540,135,415,1171,477,659,294,130,17,17,34,12,8,0.5,0.915,0.907,0.008,0.501,0.295,0.705,0.295,0.341,72.735,1.0
10,IND,EA,1,1,1,0,890,613,780,1122,527,692,373,117,909,529,154,483,1167,498,700,271,116,22,12,34,17,5,0.647,0.955,0.912,0.043,0.513,0.287,0.713,0.287,0.334,76.647,1.0
1,LAS,WE,1,1,0,0,861,545,783,1091,586,705,271,156,776,495,122,413,978,445,650,243,105,28,4,32,17,4,0.875,0.999,0.884,0.115,0.535,0.312,0.688,0.312,0.332,75.531,1.0
2,LAS,WE,1,1,1,1,916,449,755,1105,596,616,281,138,779,416,192,603,921,538,591,234,114,28,4,32,19,2,0.875,1.025,0.908,0.117,0.532,0.358,0.642,0.358,0.367,76.281,1.0
3,LAS,WE,1,1,1,1,891,476,814,1143,583,664,257,161,796,480,163,521,959,508,623,275,111,25,7,32,17,4,0.781,0.991,0.907,0.084,0.536,0.338,0.662,0.338,0.377,76.625,1.0
4,LAS,WE,1,1,1,0,894,537,813,1149,587,682,242,161,866,504,196,540,1105,572,654,241,127,24,10,34,17,7,0.706,0.971,0.933,0.038,0.512,0.299,0.701,0.299,0.33,73.5,1.0
5,LAS,WE,1,0,0,0,904,530,809,1121,626,731,262,148,815,557,174,511,1066,532,704,288,114,25,9,34,16,6,0.735,0.958,0.903,0.055,0.523,0.3,0.7,0.3,0.379,73.382,1.0
6,LAS,WE,4,0,0,0,873,456,683,1004,551,737,264,136,818,527,182,519,1041,567,654,247,115,17,17,34,12,10,0.5,0.934,0.946,-0.012,0.501,0.312,0.688,0.312,0.32,68.412,1.0
7,LAS,WE,1,1,0,0,962,540,852,1202,610,679,296,129,873,534,196,570,1082,565,636,284,128,25,9,34,15,5,0.735,0.954,0.91,0.044,0.512,0.319,0.681,0.319,0.294,75.735,1.0
8,LAS,WE,7,0,0,0,940,493,783,1139,554,732,245,107,954,609,191,537,1179,616,605,290,137,10,24,34,6,16,0.294,0.906,0.977,-0.071,0.491,0.299,0.701,0.299,0.351,74.5,0.0
9,LAS,WE,3,1,0,0,954,539,896,1282,613,713,251,216,888,562,185,547,1127,513,717,303,141,20,14,34,12,8,0.588,0.933,0.9,0.033,0.507,0.334,0.666,0.334,0.311,76.412,1.0
10,LAS,WE,3,1,0,0,973,435,883,1248,587,583,217,166,903,479,213,636,1050,516,622,300,115,18,16,34,11,9,0.529,0.935,0.932,0.003,0.505,0.333,0.667,0.333,0.297,74.5,1.0
1,MIA,EA,6,0,0,0,647,452,595,960,415,707,272,88,715,454,117,315,923,416,661,247,118,13,19,32,9,12,0.406,0.823,0.908,-0.085,0.443,0.36,0.64,0.36,0.274,57.219,0.0
2,MIA,EA,3,0,0,0,754,356,651,943,467,602,300,153,679,420,120,395,968,388,538,259,87,20,12,32,14,7,0.625,0.894,0.865,0.029,0.481,0.304,0.696,0.304,0.315,61.156,1.0
3,MIA,EA,6,0,0,0,774,369,573,869,476,643,274,96,745,469,129,382,971,446,588,222,104,15,17,32,11,10,0.469,0.918,0.937,-0.019,0.49,0.299,0.701,0.299,0.332,63.938,0.0
1,MIN,WE,6,0,0,0,770,449,612,870,495,690,237,63,755,514,164,481,977,472,707,275,130,15,17,32,5,16,0.469,0.941,0.946,-0.005,0.524,0.276,0.724,0.276,0.357,68.531,0.0
2,MIN,WE,6,0,0,0,671,559,693,1001,437,695,210,127,752,499,153,472,1016,511,719,259,126,12,20,32,9,12,0.375,0.892,0.92,-0.028,0.488,0.309,0.691,0.309,0.319,64.906,0.0
3,MIN,WE,8,0,0,0,727,383,650,959,466,617,226,102,747,469,141,389,914,495,618,273,117,10,22,32,6,15,0.312,0.89,0.939,-0.049,0.494,0.336,0.664,0.336,0.332,62.594,0.0
4,MIN,WE,4,0,0,0,875,450,718,1079,580,634,242,101,878,473,141,446,989,528,666,271,126,18,16,34,14,10,0.529,0.972,0.956,0.016,0.528,0.356,0.644,0.356,0.344,70.0,1.0
5,MIN,WE,3,0,0,0,767,454,724,1056,526,660,257,139,804,490,92,330,1036,508,676,333,133,18,16,34,12,10,0.529,0.879,0.896,-0.017,0.496,0.318,0.682,0.318,0.327,63.676,1.0
6,MIN,WE,6,0,0,0,801,437,715,1025,531,624,258,127,862,435,129,376,1055,537,665,275,144,14,20,34,9,13,0.412,0.907,0.944,-0.037,0.5,0.304,0.696,0.304,0.35,65.029,0.0
7,MIN,WE,7,0,0,0,945,485,804,1144,491,654,193,113,1004,548,179,542,1204,625,633,308,124,10,24,34,6,14,0.294,0.934,1.014,-0.08,0.502,0.29,0.71,0.29,0.353,74.206,0.0
8,MIN,WE,6,0,0,0,971,531,785,1182,596,713,238,95,988,614,162,461,1118,565,645,279,147,10,24,34,8,14,0.294,0.936,1.0,-0.064,0.497,0.332,0.668,0.332,0.329,77.529,0.0
9,MIN,WE,7,0,0,0,991,652,792,1145,557,751,309,131,974,612,161,486,1212,587,748,248,140,16,18,34,8,12,0.471,0.987,0.97,0.017,0.516,0.291,0.709,0.291,0.322,81.382,0.0
10,MIN,WE,5,0,0,0,949,591,762,1087,509,693,301,128,1041,550,195,510,1165,589,694,250,140,14,20,34,7,13,0.412,0.982,1.01,-0.028,0.526,0.277,0.723,0.277,0.348,80.324,0.0
1,NYL,EA,1,1,1,0,792,429,652,940,477,617,246,102,741,437,116,420,967,462,645,223,94,20,12,32,14,7,0.625,0.954,0.908,0.046,0.52,0.308,0.692,0.308,0.341,67.125,1.0
2,NYL,EA,2,1,0,0,833,336,660,915,553,616,265,82,744,461,133,394,983,430,600,223,76,21,11,32,13,8,0.656,0.97,0.933,0.037,0.528,0.273,0.727,0.273,0.38,67.562,1.0
3,NYL,EA,1,1,1,0,772,400,610,870,496,638,261,100,691,484,149,434,961,410,597,228,88,18,14,32,11,10,0.562,0.955,0.923,0.032,0.525,0.286,0.714,0.286,0.362,65.281,1.0
4,NYL,EA,6,0,0,0,825,412,686,957,527,587,262,128,821,459,155,467,1062,506,614,269,96,16,18,34,11,13,0.471,0.951,0.952,-0.001,0.519,0.269,0.731,0.269,0.362,65.971,0.0
5,NYL,EA,2,1,0,0,819,398,741,1004,539,587,209,124,867,431,132,416,1101,517,589,288,123,18,16,34,10,10,0.529,0.935,0.953,-0.018,0.52,0.265,0.735,0.265,0.35,66.235,1.0
6,NYL,EA,3,0,0,0,828,452,732,974,498,613,214,112,859,442,125,398,1030,473,590,275,86,18,16,34,9,11,0.529,0.997,0.974,0.023,0.551,0.261,0.739,0.261,0.344,68.118,1.0
7,NYL,EA,5,0,0,0,822,512,736,1021,475,674,252,112,966,553,171,461,1173,508,668,270,134,11,23,34,7,13,0.324,0.896,1.016,-0.12,0.504,0.255,0.745,0.255,0.335,69.765,0.0
8,NYL,EA,4,0,0,0,870,430,788,1075,500,618,289,109,920,471,190,589,1215,509,608,321,115,16,18,34,10,10,0.471,0.905,0.933,-0.028,0.515,0.255,0.745,0.255,0.372,70.971,1.0
9,NYL,EA,3,1,0,0,912,490,778,1105,551,655,290,117,924,516,174,485,1175,496,625,285,109,19,15,34,11,9,0.559,0.962,0.952,0.01,0.524,0.284,0.716,0.284,0.367,75.676,1.0
10,NYL,EA,7,0,0,0,900,458,802,1082,526,637,276,121,906,531,192,554,1202,482,590,269,124,13,21,34,9,13,0.382,0.935,0.95,-0.015,0.518,0.244,0.756,0.244,0.358,73.882,0.0
1,ORL,EA,3,0,0,0,833,397,606,925,473,583,255,130,851,378,153,450,1017,536,637,264,108,16,16,32,13,8,0.5,0.952,0.957,-0.005,0.513,0.323,0.677,0.323,0.342,69.0,1.0
2,ORL,EA,5,0,0,0,768,430,614,970,452,643,320,125,806,436,157,438,975,534,600,298,114,13,19,32,9,12,0.406,0.911,0.947,-0.036,0.493,0.351,0.649,0.351,0.327,66.875,0.0
3,ORL,EA,5,0,0,0,808,493,595,915,446,669,295,113,804,491,156,422,1046,519,637,251,108,16,16,32,13,8,0.5,0.966,0.966,0.0,0.513,0.319,0.681,0.319,0.315,70.438,0.0
1,PHO,WE,4,0,0,0,803,513,619,894,465,630,285,91,773,421,135,416,969,486,699,224,91,20,12,32,11,10,0.625,0.999,0.923,0.076,0.536,0.302,0.698,0.302,0.315,70.094,1.0
2,PHO,WE,5,0,0,0,767,429,642,942,514,625,292,138,785,462,137,391,1031,524,603,283,127,13,19,32,8,13,0.406,0.87,0.93,-0.06,0.479,0.301,0.699,0.301,0.323,64.5,0.0
3,PHO,WE,7,0,0,0,793,405,626,918,427,623,267,94,850,436,155,388,1001,532,600,268,127,11,21,32,7,14,0.344,0.896,0.988,-0.092,0.492,0.297,0.703,0.297,0.305,65.344,0.0
4,PHO,WE,7,0,0,0,801,379,643,1000,461,664,310,111,834,466,136,371,1114,509,667,275,146,8,26,34,5,19,0.235,0.852,0.927,-0.075,0.448,0.306,0.694,0.306,0.332,61.676,0.0
5,PHO,WE,5,0,0,0,826,456,652,916,501,748,282,137,784,534,133,348,1020,456,660,226,137,17,17,34,11,11,0.5,0.964,0.935,0.029,0.526,0.271,0.729,0.271,0.37,67.647,0.0
6,PHO,WE,5,0,0,0,826,531,720,1062,549,697,243,179,855,523,121,332,1024,470,672,265,112,16,18,34,12,10,0.471,0.954,0.952,0.002,0.514,0.327,0.673,0.327,0.33,69.441,0.0
7,PHO,WE,5,0,0,0,1079,537,811,1145,640,741,275,127,1023,630,203,618,1283,578,669,231,126,18,16,34,8,12,0.529,1.041,1.005,0.036,0.541,0.276,0.724,0.276,0.367,87.059,0.0
8,PHO,WE,1,1,1,1,1063,616,873,1152,683,658,285,159,1022,570,290,762,1390,628,684,244,109,23,11,34,17,5,0.676,1.023,0.971,0.052,0.55,0.228,0.772,0.228,0.353,88.971,1.0
9,PHO,WE,6,0,0,0,1069,642,851,1226,560,794,232,156,1036,694,243,695,1298,650,717,234,129,16,18,34,8,12,0.471,1.024,1.027,-0.003,0.533,0.304,0.696,0.304,0.328,88.529,0.0
10,PHO,WE,1,1,1,1,1128,643,906,1190,625,740,225,181,1094,638,205,608,1285,607,671,260,143,23,11,34,13,7,0.676,1.052,1.012,0.04,0.567,0.247,0.753,0.247,0.386,92.824,1.0
1,POR,WE,7,0,0,0,761,488,627,936,480,761,265,93,788,577,150,447,953,487,729,277,130,10,22,32,4,17,0.312,0.891,0.956,-0.065,0.505,0.324,0.676,0.324,0.335,67.344,0.0
2,POR,WE,7,0,0,0,733,450,696,996,451,633,244,106,791,461,159,410,1106,501,643,293,144,11,21,32,5,16,0.344,0.885,0.932,-0.047,0.483,0.282,0.718,0.282,0.331,65.25,0.0
3,POR,WE,5,0,0,0,829,410,641,948,492,623,239,120,819,463,126,348,1012,486,616,272,139,16,16,32,8,13,0.5,0.92,0.95,-0.03,0.499,0.312,0.688,0.312,0.325,68.594,0.0
1,SAC,WE,3,0,0,0,876,449,650,1038,567,571,332,157,811,410,144,418,951,503,600,226,116,21,11,32,13,8,0.656,0.997,0.922,0.075,0.514,0.381,0.619,0.381,0.309,73.219,1.0
2,SAC,WE,2,1,0,0,837,457,723,1097,558,588,276,158,804,415,116,400,1005,496,616,261,143,20,12,32,13,8,0.625,0.97,0.893,0.077,0.511,0.361,0.639,0.361,0.385,71.688,1.0
3,SAC,WE,6,0,0,0,780,494,648,949,500,675,247,109,815,515,149,453,1075,493,633,233,128,14,18,32,8,13,0.438,0.907,0.961,-0.054,0.485,0.294,0.706,0.294,0.284,67.688,0.0
4,SAC,WE,3,1,0,0,862,425,718,1067,568,641,297,122,816,435,149,467,1096,516,640,224,141,19,15,34,13,11,0.559,0.922,0.892,0.03,0.482,0.317,0.683,0.317,0.317,67.618,1.0
5,SAC,WE,4,1,0,0,874,435,635,1024,519,641,314,118,803,474,161,458,986,513,646,241,117,18,16,34,12,10,0.529,0.95,0.921,0.029,0.494,0.365,0.635,0.365,0.353,68.0,1.0
6,SAC,WE,1,1,1,1,853,494,674,1043,527,684,304,108,751,478,113,376,967,463,723,235,132,25,9,34,17,5,0.735,0.957,0.851,0.106,0.506,0.347,0.653,0.347,0.358,68.5,1.0
7,SAC,WE,2,1,1,0,919,542,720,1138,509,670,330,88,872,504,156,507,1019,507,687,244,143,21,13,34,10,10,0.618,0.961,0.907,0.054,0.504,0.366,0.634,0.366,0.341,74.618,1.0
8,SAC,WE,3,0,0,0,901,572,723,1175,537,642,325,101,891,512,186,547,1026,542,689,274,141,19,15,34,12,10,0.559,0.936,0.914,0.022,0.497,0.386,0.614,0.386,0.357,74.324,1.0
9,SAC,WE,4,0,0,0,883,611,721,1109,473,690,319,77,958,469,186,542,1075,581,759,267,206,18,16,34,9,11,0.529,0.937,0.946,-0.009,0.505,0.336,0.664,0.336,0.384,74.853,1.0
10,SAC,WE,6,0,0,0,946,586,763,1154,540,645,289,98,994,479,223,604,1028,627,704,262,147,12,22,34,6,14,0.353,0.962,0.986,-0.024,0.518,0.358,0.642,0.358,0.339,76.765,0.0
4,SAS,WE,6,0,0,0,792,538,795,1145,428,728,187,167,867,544,149,482,1172,530,669,275,140,12,22,34,10,14,0.353,0.867,0.956,-0.089,0.463,0.309,0.691,0.309,0.295,65.147,0.0
5,SAS,WE,7,0,0,0,812,488,701,1003,493,628,272,106,888,416,172,469,1034,575,624,280,129,9,25,34,6,16,0.265,0.903,0.977,-0.074,0.494,0.298,0.702,0.298,0.32,64.441,0.0
6,SAS,WE,7,0,0,0,764,503,690,946,433,650,195,90,898,463,142,408,1055,563,685,283,148,7,27,34,3,19,0.206,0.892,0.998,-0.106,0.505,0.267,0.733,0.267,0.324,62.971,0.0
7,SAS,WE,6,0,0,0,915,504,814,1168,540,610,246,83,974,490,165,459,1237,560,641,254,129,13,21,34,10,10,0.382,0.94,0.982,-0.042,0.495,0.29,0.71,0.29,0.34,74.206,0.0
8,SAS,WE,2,1,0,0,923,464,764,1087,567,653,283,130,904,529,147,454,1137,516,619,257,137,20,14,34,13,9,0.588,0.945,0.933,0.012,0.518,0.294,0.706,0.294,0.366,74.029,1.0
9,SAS,WE,1,1,1,0,901,561,847,1093,601,602,272,150,904,471,139,483,1206,500,666,278,109,24,10,34,10,10,0.706,0.956,0.899,0.057,0.534,0.231,0.769,0.231,0.34,74.882,1.0
10,SAS,WE,4,0,0,0,936,487,768,1049,598,596,257,116,1000,488,173,499,1188,529,643,268,120,15,19,34,10,10,0.441,0.971,0.989,-0.018,0.53,0.254,0.746,0.254,0.346,76.912,1.0
1,SEA,WE,8,0,0,0,667,379,537,793,390,648,255,93,778,498,117,334,1009,506,618,284,123,6,26,32,4,17,0.188,0.808,0.965,-0.157,0.459,0.262,0.738,0.262,0.299,56.938,0.0
2,SEA,WE,8,0,0,0,689,415,585,891,412,605,273,127,753,417,125,325,1052,492,588,228,127,10,22,32,6,15,0.312,0.868,0.923,-0.055,0.46,0.288,0.712,0.288,0.311,60.031,0.0
3,SEA,WE,4,0,0,0,794,418,633,995,514,623,282,151,783,435,102,342,969,488,563,254,125,17,15,32,10,11,0.531,0.951,0.914,0.037,0.5,0.354,0.646,0.354,0.36,68.375,1.0
4,SEA,WE,5,0,0,0,890,442,732,1074,548,644,232,138,844,441,145,437,1041,456,570,245,104,18,16,34,11,13,0.529,0.988,0.945,0.043,0.52,0.332,0.668,0.332,0.332,70.235,0.0
5,SEA,WE,2,1,1,1,873,524,709,1059,552,665,302,131,851,423,139,391,982,507,678,252,137,20,14,34,13,9,0.588,0.986,0.915,0.071,0.525,0.34,0.66,0.34,0.38,71.676,1.0
6,SEA,WE,2,0,0,0,906,544,776,1099,520,657,201,158,892,490,133,419,1020,568,691,267,154,20,14,34,13,9,0.588,0.975,0.943,0.032,0.527,0.32,0.68,0.32,0.331,73.471,1.0
7,SEA,WE,4,0,0,0,961,562,821,1148,514,682,232,127,940,531,164,484,1031,520,683,297,115,18,16,34,10,10,0.529,0.986,0.957,0.029,0.542,0.316,0.684,0.316,0.337,77.765,1.0
8,SEA,WE,4,0,0,0,964,582,820,1164,533,620,242,151,987,478,195,528,1094,591,642,272,112,17,17,34,11,11,0.5,1.008,0.966,0.042,0.541,0.311,0.689,0.311,0.351,80.412,1.0
