year,tmID,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,win_pct,points_per_game,points_allowed_per_game,fg_pct,three_pt_pct,ft_pct,total_rebounds_per_game,offensive_rebounds_per_game,defensive_rebounds_per_game,opp_total_rebounds_per_game,opp_offensive_rebounds_per_game,opp_defensive_rebounds_per_game,rebounding_pct,offensive_rebounding_pct,defensive_rebounding_pct,home_win_pct,away_win_pct,conf_win_pct,assists_per_game,turnovers_per_game,assist_to_turnover,blocks_per_game,steals_per_game,team_points_mean,team_points_max,team_points_std,team_assists_mean,team_assists_sum,team_rebounds_mean,team_rebounds_sum,team_steals_mean,team_steals_sum,team_blocks_mean,team_blocks_sum,team_minutes_sum,team_minutes_mean,made_playoffs_next_season
8,CHI,EA,6,N,,,,925,2277,489,723,186,544,383,782,1165,597,634,262,510,112,2525,963,2243,501,642,184,481,379,846,1225,584,683,242,566,138,2611,14,20,34,6,11,8,9,6,14,6972,66557,0.41,74.26,76.79,0.41,0.34,0.68,34.26,11.26,23.0,36.03,11.15,24.88,0.49,0.31,0.67,0.35,0.47,0.3,17.56,15.0,1.17,3.29,7.71,180.36,544,162.86,42.64,597,83.21,1165,18.71,262,8.0,112,6975,498.21,0
9,CHI,EA,5,N,,,,899,2100,564,812,110,341,357,770,1127,548,639,269,525,149,2472,917,2203,506,655,170,508,366,794,1160,531,681,255,522,124,2510,12,22,34,8,9,4,13,10,10,6875,62146,0.35,72.71,73.82,0.43,0.32,0.69,33.15,10.5,22.65,34.12,10.76,23.35,0.49,0.31,0.68,0.47,0.24,0.5,16.12,15.44,1.04,4.38,7.91,190.15,577,187.61,42.15,548,86.69,1127,20.69,269,11.46,149,6875,528.85,0
10,CHI,EA,5,N,,,,930,2136,527,693,186,471,307,776,1083,532,605,249,532,138,2573,1004,2269,479,613,206,593,359,797,1156,610,636,273,489,121,2693,16,18,34,12,5,4,13,10,12,6825,66852,0.47,75.68,79.21,0.44,0.39,0.76,31.85,9.03,22.82,34.0,10.56,23.44,0.48,0.28,0.68,0.71,0.24,0.45,15.65,15.65,1.0,4.06,7.32,209.42,534,153.46,44.08,529,87.5,1050,20.33,244,11.17,134,6674,556.17,0
1,CLE,EA,2,Y,W,L,,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,17,15,32,13,3,4,12,13,8,6500,137532,0.53,68.28,66.31,0.44,0.35,0.75,29.19,10.34,18.84,27.28,8.66,18.62,0.52,0.36,0.69,0.81,0.25,0.62,16.84,16.81,1.0,2.84,8.09,168.08,373,123.47,41.46,539,71.85,934,19.92,259,7.0,91,6500,500.0,1
2,CLE,EA,1,Y,L,,,763,1770,372,505,106,335,297,662,959,503,532,267,444,83,2004,664,1745,328,444,132,417,297,594,891,434,597,225,496,127,1788,22,10,32,14,2,8,8,15,6,6425,147373,0.69,62.62,55.88,0.43,0.32,0.74,29.97,9.28,20.69,27.84,9.28,18.56,0.52,0.33,0.69,0.88,0.5,0.71,15.72,13.88,1.13,2.59,8.34,133.6,404,124.84,33.53,503,63.93,959,17.8,267,5.53,83,6425,428.33,0
3,CLE,EA,7,N,,,,760,1820,430,553,121,374,295,674,969,480,567,221,451,83,2071,797,1834,397,521,149,441,278,640,918,530,613,242,428,109,2140,10,22,32,4,12,6,10,7,14,6550,149084,0.31,64.72,66.88,0.42,0.32,0.78,30.28,9.22,21.06,28.69,8.69,20.0,0.51,0.32,0.71,0.25,0.38,0.33,15.0,14.09,1.06,2.59,6.91,159.31,399,157.46,36.92,480,74.54,969,17.0,221,6.38,83,6550,503.85,1
4,CLE,EA,4,Y,L,,,815,1975,464,643,135,425,349,720,1069,517,639,226,466,86,2229,809,1927,465,607,127,355,300,704,1004,510,659,223,467,135,2210,17,17,34,11,6,6,11,13,11,6825,125793,0.5,65.56,65.0,0.41,0.32,0.72,31.44,10.26,21.18,29.53,8.82,20.71,0.52,0.33,0.71,0.65,0.35,0.54,15.21,13.71,1.11,2.53,6.65,202.64,444,146.53,47.0,517,97.18,1069,20.55,226,7.82,86,6825,620.45,0
4,CON,EA,3,Y,W,L,,864,2102,479,646,177,549,333,762,1095,520,663,270,434,111,2384,864,2104,509,673,172,536,366,812,1178,553,669,252,476,88,2409,18,16,34,10,7,8,9,11,13,6875,102433,0.53,70.12,70.85,0.41,0.32,0.74,32.21,9.79,22.41,34.65,10.76,23.88,0.48,0.29,0.68,0.59,0.47,0.46,15.29,12.76,1.2,3.26,7.94,216.73,548,170.91,47.27,520,99.55,1095,24.55,270,10.09,111,6875,625.0,1
5,CON,EA,1,Y,W,W,L,876,2051,434,590,149,467,321,724,1045,572,610,299,462,96,2335,858,1996,443,599,145,384,306,757,1063,565,627,239,492,113,2304,18,16,34,10,7,8,9,14,6,6900,114017,0.53,68.68,67.76,0.43,0.32,0.74,30.74,9.44,21.29,31.26,9.0,22.26,0.5,0.3,0.7,0.59,0.47,0.7,16.82,13.59,1.24,2.82,8.79,212.27,517,174.94,52.0,572,95.0,1045,27.18,299,8.73,96,6900,627.27,1
6,CON,EA,1,Y,W,W,W,916,2025,512,688,130,373,322,788,1110,573,624,236,452,130,2474,835,2100,452,599,122,400,350,728,1078,495,675,258,442,79,2244,26,8,34,14,3,12,5,13,7,6800,121944,0.76,72.76,66.0,0.45,0.35,0.74,32.65,9.47,23.18,31.71,10.29,21.41,0.51,0.31,0.69,0.82,0.71,0.65,16.85,13.29,1.27,3.82,6.94,206.17,532,200.17,47.75,573,92.5,1110,19.67,236,10.83,130,6800,566.67,1
7,CON,EA,1,Y,W,L,,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,26,8,34,14,3,12,5,15,5,6825,126096,0.76,78.91,71.09,0.44,0.34,0.81,37.29,10.06,27.24,33.91,10.88,23.03,0.52,0.3,0.71,0.82,0.71,0.75,18.53,15.12,1.23,4.5,7.41,191.64,525,174.8,45.0,630,90.57,1268,18.0,252,10.93,153,6827,487.64,1
8,CON,EA,3,Y,L,,,1001,2327,478,615,195,572,354,868,1222,619,641,272,540,156,2675,976,2317,475,626,166,485,337,842,1179,581,633,246,524,85,2593,18,16,34,8,9,10,7,10,10,6925,135490,0.53,78.68,76.26,0.43,0.34,0.78,35.94,10.41,25.53,34.68,9.91,24.76,0.51,0.3,0.72,0.47,0.59,0.5,18.21,15.88,1.15,4.59,8.0,205.77,577,189.82,47.62,619,94.0,1222,20.92,272,12.0,156,6924,532.62,1
9,CON,EA,2,Y,L,,,965,2286,539,723,221,669,370,869,1239,607,629,211,487,97,2690,955,2284,472,638,159,496,360,840,1200,554,703,252,499,104,2541,21,13,34,13,4,8,9,13,7,6850,129951,0.62,79.12,74.74,0.42,0.33,0.75,36.44,10.88,25.56,35.29,10.59,24.71,0.51,0.31,0.71,0.76,0.47,0.65,17.85,14.32,1.25,2.85,6.21,200.46,561,177.52,45.69,594,87.69,1140,15.46,201,7.38,96,6477,498.23,0
10,CON,EA,6,N,,,,966,2381,517,692,202,639,358,826,1184,608,677,250,453,130,2651,953,2236,591,746,157,488,329,945,1274,525,684,248,549,125,2654,16,18,34,12,5,4,13,10,12,6975,115496,0.47,77.97,78.06,0.41,0.32,0.75,34.82,10.53,24.29,37.47,9.68,27.79,0.48,0.27,0.72,0.71,0.24,0.45,17.88,13.32,1.34,3.82,7.35,189.36,419,137.54,43.43,608,84.57,1184,17.86,250,9.29,130,6976,498.29,0
1,DET,EA,5,N,,,,868,1980,519,699,76,273,341,644,985,503,701,260,530,88,2331,905,1967,480,652,136,372,331,640,971,513,672,284,543,148,2426,14,18,32,8,8,6,10,10,11,6425,107289,0.44,72.84,75.81,0.44,0.28,0.74,30.78,10.66,20.12,30.34,10.34,20.0,0.5,0.35,0.66,0.5,0.38,0.48,15.72,16.56,0.95,2.75,8.12,179.31,441,129.51,38.69,503,75.77,985,20.0,260,6.77,88,6425,494.23,0
2,DET,EA,7,N,,,,774,1914,412,542,143,405,324,621,945,469,602,225,498,82,2103,848,1837,446,583,127,340,279,702,981,438,591,262,483,109,2269,10,22,32,6,10,4,12,7,14,6550,109348,0.31,65.72,70.91,0.4,0.35,0.76,29.53,10.12,19.41,30.66,8.72,21.94,0.49,0.32,0.69,0.38,0.25,0.33,14.66,15.56,0.94,2.56,7.03,175.25,376,103.33,39.08,469,78.75,945,18.75,225,6.83,82,6550,545.83,0
3,DET,EA,8,N,,,,766,1919,472,651,110,364,360,719,1079,478,609,201,541,132,2114,828,1984,464,605,146,447,314,669,983,465,637,277,443,139,2266,9,23,32,7,9,2,14,6,15,6450,94171,0.28,66.06,70.81,0.4,0.3,0.73,33.72,11.25,22.47,30.72,9.81,20.91,0.52,0.35,0.7,0.44,0.12,0.29,14.94,16.91,0.88,4.12,6.28,140.93,474,127.87,31.87,478,71.93,1079,13.4,201,8.8,132,6450,430.0,1
4,DET,EA,1,Y,W,W,W,902,2004,624,882,125,323,379,851,1230,545,605,263,608,158,2553,911,2286,412,556,161,541,390,674,1064,504,774,309,497,129,2395,25,9,34,13,4,12,5,18,6,6900,133647,0.74,75.09,70.44,0.45,0.39,0.71,36.18,11.15,25.03,31.29,11.47,19.82,0.54,0.36,0.69,0.76,0.71,0.75,16.03,17.88,0.9,4.65,7.74,196.38,548,181.17,41.92,545,94.62,1230,20.23,263,12.15,158,6900,530.77,1
5,DET,EA,3,Y,L,,,874,2097,556,792,62,209,397,773,1170,564,648,277,513,148,2366,860,2098,470,609,191,533,325,730,1055,515,728,289,496,131,2381,17,17,34,8,9,9,8,11,9,6850,160860,0.5,69.59,70.03,0.42,0.3,0.7,34.41,11.68,22.74,31.03,9.56,21.47,0.53,0.35,0.7,0.47,0.53,0.55,16.59,15.09,1.1,4.35,8.15,157.73,526,179.9,37.6,564,78.0,1170,18.47,277,9.87,148,6850,456.67,1
6,DET,EA,4,Y,L,,,831,2060,509,774,76,238,412,803,1215,474,761,241,571,155,2247,784,1945,565,754,154,456,273,745,1018,473,744,272,520,136,2287,16,18,34,12,5,4,13,11,9,6925,159356,0.47,66.09,67.26,0.4,0.32,0.66,35.74,12.12,23.62,29.94,8.03,21.91,0.54,0.36,0.75,0.71,0.24,0.55,13.94,16.79,0.83,4.56,7.09,149.8,524,137.89,31.6,474,81.0,1215,16.07,241,10.33,155,6925,461.67,1
7,DET,EA,2,Y,W,W,W,919,2220,553,746,136,414,406,880,1286,572,711,213,537,137,2527,840,2165,529,702,175,561,324,760,1084,474,733,275,506,108,2384,23,11,34,14,3,9,8,14,6,6825,159453,0.68,74.32,70.12,0.41,0.33,0.74,37.82,11.94,25.88,31.88,9.53,22.35,0.54,0.35,0.73,0.82,0.53,0.7,16.82,15.79,1.07,4.03,6.26,194.38,468,174.47,44.0,572,98.92,1286,16.38,213,10.54,137,6825,525.0,1
8,DET,EA,1,Y,W,W,L,972,2261,595,785,158,442,380,931,1311,563,702,227,564,117,2697,895,2262,547,718,203,610,309,780,1089,546,767,276,529,117,2540,24,10,34,12,5,12,5,14,6,6850,165738,0.71,79.32,74.71,0.43,0.36,0.76,38.56,11.18,27.38,32.03,9.09,22.94,0.55,0.33,0.75,0.71,0.71,0.7,16.56,16.59,1.0,3.44,6.68,180.0,553,188.22,39.71,556,81.79,1145,15.71,220,6.57,92,6402,457.29,1
9,DET,EA,1,Y,W,W,W,974,2295,556,744,168,476,405,843,1248,604,724,278,496,118,2672,872,2151,563,740,215,616,324,761,1085,520,762,229,572,119,2522,22,12,34,14,3,8,9,16,4,6875,162669,0.65,78.59,74.18,0.42,0.35,0.75,36.71,11.91,24.79,31.91,9.53,22.38,0.53,0.35,0.72,0.82,0.47,0.8,17.76,14.59,1.22,3.47,8.18,140.63,538,168.33,31.79,604,65.68,1248,14.63,278,6.21,118,6875,361.84,1
10,DET,EA,3,Y,W,L,,980,2277,539,721,153,436,373,853,1226,575,766,261,546,97,2652,902,2201,632,813,208,611,320,781,1101,524,716,279,531,110,2644,18,16,34,11,6,7,10,11,11,6975,136069,0.53,78.0,77.76,0.43,0.35,0.75,36.06,10.97,25.09,32.38,9.41,22.97,0.53,0.32,0.73,0.65,0.41,0.5,16.91,16.06,1.05,2.85,7.68,147.33,559,175.42,31.94,575,68.11,1226,14.5,261,5.39,97,6976,387.56,0
1,HOU,WE,2,Y,W,W,W,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,27,5,32,14,2,13,3,17,4,6475,196077,0.84,77.34,64.56,0.47,0.35,0.82,31.16,8.53,22.62,28.19,9.06,19.12,0.53,0.31,0.71,0.88,0.81,0.81,15.44,13.75,1.12,3.25,8.88,206.25,643,234.53,41.17,494,83.08,997,23.67,284,8.67,104,6475,539.58,1
2,HOU,WE,4,Y,L,,,747,1908,415,539,138,435,348,710,1058,426,509,251,436,95,2047,740,1883,362,504,152,456,297,685,982,452,561,248,433,120,1994,19,13,32,11,5,8,8,13,8,6450,181115,0.59,63.97,62.31,0.39,0.32,0.77,33.06,10.88,22.19,30.69,9.28,21.41,0.52,0.34,0.71,0.69,0.5,0.62,13.31,13.62,0.98,2.97,7.84,186.09,591,202.52,38.73,426,96.18,1058,22.82,251,8.64,95,6450,586.36,1
3,HOU,WE,2,Y,L,,,755,1778,453,585,109,332,299,702,1001,450,467,260,455,126,2072,705,1880,331,452,151,489,309,664,973,446,606,262,464,71,1892,24,8,32,14,2,10,6,16,5,6425,188648,0.75,64.75,59.12,0.42,0.33,0.77,31.28,9.34,21.94,30.41,9.66,20.75,0.51,0.31,0.69,0.88,0.62,0.76,14.06,14.22,0.99,3.94,8.12,148.0,592,192.49,32.14,450,71.5,1001,18.57,260,9.0,126,6425,458.93,1
4,HOU,WE,2,Y,L,,,828,1916,473,600,115,344,266,764,1030,465,490,231,450,129,2244,824,2030,325,448,169,500,298,708,1006,516,634,227,430,122,2142,20,14,34,14,3,6,11,14,10,6825,150203,0.59,66.0,63.0,0.43,0.33,0.79,30.29,7.82,22.47,29.59,8.76,20.82,0.51,0.27,0.72,0.82,0.35,0.58,13.68,13.24,1.03,3.79,6.79,187.0,484,180.35,38.75,465,85.83,1030,19.25,231,10.75,129,6825,568.75,0
5,HOU,WE,6,N,,,,798,1933,458,615,123,358,311,724,1035,451,555,242,484,107,2177,834,2008,391,531,152,434,335,720,1055,539,655,258,471,129,2211,13,21,34,9,8,4,13,7,15,6850,137455,0.38,64.03,65.03,0.41,0.34,0.74,30.44,9.15,21.29,31.03,9.85,21.18,0.5,0.3,0.68,0.53,0.24,0.32,13.26,14.24,0.93,3.15,7.12,167.46,520,166.35,34.69,451,79.62,1035,18.62,242,8.23,107,6850,526.92,1
6,HOU,WE,3,Y,W,L,,860,1920,527,690,62,205,276,684,960,467,581,246,425,105,2309,848,1944,419,559,148,423,274,687,961,541,685,197,481,111,2263,19,15,34,11,6,8,9,11,11,6875,120676,0.56,67.91,66.56,0.45,0.3,0.76,28.24,8.12,20.12,28.26,8.06,20.21,0.5,0.29,0.71,0.65,0.47,0.5,13.74,12.5,1.1,3.09,7.24,164.93,614,179.85,33.36,467,68.57,960,17.57,246,7.5,105,6875,491.07,1
7,HOU,WE,3,Y,L,,,928,2098,482,678,169,472,303,822,1125,532,617,252,566,84,2507,928,2232,445,615,148,496,337,787,1124,526,705,298,519,89,2449,18,16,34,12,5,6,11,11,9,6925,130586,0.53,73.74,72.03,0.44,0.36,0.71,33.09,8.91,24.18,33.06,9.91,23.15,0.5,0.28,0.71,0.71,0.35,0.55,15.65,16.65,0.94,2.47,7.41,186.77,482,164.65,39.69,516,81.62,1061,18.54,241,6.23,81,6651,511.62,0
8,HOU,WE,5,N,,,,915,2149,554,721,126,365,374,770,1144,558,655,289,633,109,2510,924,2190,578,719,202,581,342,721,1063,588,677,310,568,160,2628,13,21,34,7,10,6,11,10,12,6800,138816,0.38,73.82,77.29,0.43,0.35,0.77,33.65,11.0,22.65,31.26,10.06,21.21,0.52,0.34,0.69,0.41,0.35,0.45,16.41,18.62,0.88,3.21,8.5,165.87,639,169.0,36.87,553,74.4,1116,18.93,284,6.87,103,6698,446.53,0
9,HOU,WE,5,N,,,,923,2213,563,736,152,481,376,803,1179,556,728,295,599,120,2561,903,2186,582,781,218,580,349,743,1092,542,744,313,555,165,2606,17,17,34,13,4,4,13,10,10,6925,111951,0.5,75.32,76.65,0.42,0.32,0.76,34.68,11.06,23.62,32.12,10.26,21.85,0.52,0.34,0.7,0.76,0.24,0.5,16.35,17.62,0.93,3.53,8.68,174.21,542,150.71,38.43,538,78.71,1102,20.14,282,7.93,111,6560,468.57,0
1,IND,EA,7,N,,,,796,1838,428,569,193,521,285,647,932,501,642,271,518,126,2213,839,1868,503,669,109,358,321,633,954,528,612,267,476,75,2290,9,23,32,5,11,4,12,7,14,6425,180270,0.28,69.16,71.56,0.43,0.37,0.75,29.12,8.91,20.22,29.81,10.03,19.78,0.49,0.31,0.67,0.31,0.25,0.33,15.66,16.19,0.97,3.94,8.47,147.53,370,146.08,33.4,501,62.13,932,18.07,271,8.4,126,6425,428.33,0
2,IND,EA,6,N,,,,762,1822,472,591,157,446,286,649,935,458,600,242,491,118,2153,853,1899,412,583,131,367,306,660,966,565,616,256,466,140,2249,10,22,32,7,9,3,13,7,14,6475,138922,0.31,67.28,70.28,0.42,0.35,0.8,29.22,8.94,20.28,30.19,9.56,20.62,0.49,0.3,0.68,0.44,0.19,0.33,14.31,15.34,0.93,3.69,7.56,165.62,380,104.5,35.23,458,71.92,935,18.62,242,9.08,118,6475,498.08,1
3,IND,EA,4,Y,L,,,731,1825,455,580,180,543,315,633,948,447,559,268,438,100,2097,804,1817,359,503,162,464,288,644,932,507,647,226,470,145,2129,16,16,32,10,6,6,10,12,9,6425,134945,0.5,65.53,66.53,0.4,0.33,0.78,29.62,9.84,19.78,29.12,9.0,20.12,0.5,0.33,0.69,0.62,0.38,0.57,13.97,13.69,1.02,3.12,8.38,161.31,594,164.67,34.38,447,72.92,948,20.62,268,7.69,100,6425,494.23,0
4,IND,EA,5,N,,,,839,2011,449,563,210,600,334,654,988,539,668,299,474,121,2337,837,1908,490,638,157,421,309,677,986,570,631,227,512,170,2321,16,18,34,11,6,5,12,12,12,6875,141778,0.47,68.74,68.26,0.42,0.35,0.8,29.06,9.82,19.24,29.0,9.09,19.91,0.5,0.33,0.68,0.65,0.29,0.5,15.85,13.94,1.14,3.56,8.79,179.77,671,191.58,41.46,539,76.0,988,23.0,299,9.31,121,6875,528.85,0
5,IND,EA,6,N,,,,791,2011,450,580,166,481,396,705,1101,555,639,261,486,134,2198,804,1865,516,695,121,352,281,688,969,514,603,268,466,162,2245,15,19,34,10,7,5,12,8,12,6850,128989,0.44,64.65,66.03,0.39,0.35,0.78,32.38,11.65,20.74,28.5,8.26,20.24,0.53,0.37,0.72,0.59,0.29,0.4,16.32,14.29,1.14,3.94,7.68,183.17,568,169.57,46.25,555,91.75,1101,21.75,261,11.17,134,6850,570.83,1
6,IND,EA,2,Y,W,L,,784,1958,452,595,150,468,341,671,1012,493,668,336,477,95,2170,775,1798,460,642,123,367,279,711,990,435,644,234,558,113,2133,21,13,34,14,3,7,10,14,6,6925,142494,0.62,63.82,62.74,0.4,0.32,0.76,29.76,10.03,19.74,29.12,8.21,20.91,0.51,0.32,0.71,0.82,0.41,0.7,14.5,14.03,1.03,2.79,9.88,180.83,501,145.46,41.08,493,84.33,1012,28.0,336,7.92,95,6925,577.08,1
7,IND,EA,3,Y,L,,,873,2144,518,676,171,551,339,755,1094,501,606,354,528,93,2435,883,2043,413,559,137,444,288,773,1061,507,685,259,617,105,2316,21,13,34,12,5,9,8,12,8,6850,122768,0.62,71.62,68.12,0.41,0.31,0.77,32.18,9.97,22.21,31.21,8.47,22.74,0.51,0.3,0.72,0.71,0.53,0.6,14.74,15.53,0.95,2.74,10.41,202.92,528,186.98,41.75,501,91.17,1094,29.5,354,7.75,93,6850,570.83,1
8,IND,EA,2,Y,W,L,,907,2167,478,617,188,546,341,812,1153,511,646,308,589,136,2480,881,2192,450,608,158,483,369,795,1164,475,663,280,610,114,2370,21,13,34,12,5,9,8,12,8,6875,133915,0.62,72.94,69.71,0.42,0.34,0.77,33.91,10.03,23.88,34.24,10.85,23.38,0.5,0.3,0.69,0.71,0.53,0.6,15.03,17.32,0.87,4.0,9.06,206.67,409,145.1,42.58,511,96.08,1153,25.67,308,11.33,136,6874,572.83,1
9,IND,EA,4,Y,L,,,876,2179,495,656,226,662,349,778,1127,500,727,324,585,165,2473,891,2127,540,706,135,415,338,833,1171,477,659,294,608,130,2457,17,17,34,11,6,6,11,12,8,6950,130941,0.5,72.74,72.26,0.4,0.34,0.75,33.15,10.26,22.88,34.44,9.94,24.5,0.49,0.3,0.7,0.65,0.35,0.6,14.71,17.21,0.85,4.85,9.53,164.87,516,169.19,33.33,500,75.13,1127,21.6,324,11.0,165,6952,463.47,1
10,IND,EA,1,Y,W,W,L,890,2212,613,746,213,637,342,780,1122,527,692,373,531,117,2606,909,2118,529,692,154,483,318,849,1167,498,700,271,638,116,2501,22,12,34,14,3,8,9,17,5,6925,134964,0.65,76.65,73.56,0.4,0.33,0.82,33.0,10.06,22.94,34.32,9.35,24.97,0.49,0.29,0.71,0.82,0.47,0.77,15.5,15.62,0.99,3.44,10.97,186.14,547,178.02,37.64,527,80.14,1122,26.64,373,8.36,117,6924,494.57,0
