coachID,year,tmID,stint,won,lost,post_wins,post_losses
coylepa99w,7,NYL,0,18.0,16.0,0.0,2.0
coylepa99w,8,NYL,0,11.0,23.0,0.0,0.0
coylepa99w,9,NYL,0,16.0,18.0,1.0,2.0
coylepa99w,10,NYL,1,19.0,15.0,3.0,3.0
dailesh99w,4,SAS,2,17.1,13.9,1.7,1.5
dailesh99w,5,SAS,1,6.0,6.0,0.0,0.0
donovan99w,2,CHA,0,9.0,23.0,0.0,0.0
donovan99w,3,CHA,0,18.0,14.0,4.0,4.0
donovan99w,4,SEA,0,18.0,14.0,0.0,2.0
donovan99w,5,SEA,0,18.0,16.0,0.0,0.0
donovan99w,6,SEA,0,20.0,14.0,6.0,2.0
donovan99w,7,SEA,0,20.0,14.0,1.0,2.0
donovan99w,8,SEA,0,18.0,16.0,1.0,2.0
donovan99w,10,NYL,2,17.0,17.0,0.0,2.0
dunnli99wc,2,SEA,0,6.0,26.0,0.0,0.0
dunnli99wc,3,SEA,0,10.0,22.0,0.0,0.0
dunnli99wc,9,IND,0,17.0,15.0,0.0,2.0
dunnli99wc,10,IND,0,17.0,17.0,1.0,2.0
fortnne99w,2,IND,0,16.67,15.33,1.33,1.0
fortnne99w,3,IND,0,10.0,22.0,0.0,0.0
fortnne99w,4,IND,0,16.0,16.0,1.0,2.0
gaineco01w,9,PHO,0,15.36,16.73,1.0,1.45
gaineco01w,10,PHO,0,16.0,18.0,0.0,0.0
gilloje01w,10,MIN,0,17.92,16.08,2.08,2.0
grafca99wc,5,PHO,0,17.36,12.82,1.64,1.55
grafca99wc,6,PHO,0,17.0,17.0,0.0,0.0
hargrli99w,2,POR,0,10.0,22.0,0.0,0.0
hargrli99w,3,POR,0,11.0,21.0,0.0,0.0
harveca99w,2,UTA,2,16.67,15.33,1.33,1.0
harveca99w,3,UTA,0,14.0,5.0,0.0,2.0
harveca99w,4,SAS,1,20.0,12.0,2.0,3.0
hugheda99w,2,CLE,0,17.0,15.0,3.0,3.0
hugheda99w,3,CLE,0,22.0,10.0,1.0,2.0
hugheda99w,4,CLE,0,10.0,22.0,0.0,0.0
hugheda99w,6,SAS,0,17.0,17.0,1.0,2.0
hugheda99w,7,SAS,0,7.0,27.0,0.0,0.0
hugheda99w,8,SAS,0,13.0,21.0,0.0,0.0
hugheda99w,9,SAS,0,20.0,14.0,2.0,3.0
hugheda99w,10,SAS,0,24.0,10.0,4.0,5.0
jenkica99w,7,MIN,2,15.75,13.92,1.42,1.42
kenlaje99w,9,WAS,2,15.36,16.73,1.0,1.45
keyst99wc,9,CHI,0,15.36,16.73,1.0,1.45
keyst99wc,10,CHI,0,12.0,22.0,0.0,0.0
laceytr99w,4,CHA,0,17.1,13.9,1.7,1.5
laceytr99w,5,CHA,0,18.0,16.0,0.0,2.0
laceytr99w,6,CHA,1,16.0,18.0,0.0,0.0
laimbbi01w,3,DET,2,15.86,14.36,1.29,1.29
laimbbi01w,4,DET,0,9.0,13.0,0.0,0.0
laimbbi01w,5,DET,0,25.0,9.0,6.0,2.0
laimbbi01w,6,DET,0,17.0,17.0,1.0,2.0
laimbbi01w,7,DET,0,16.0,18.0,0.0,2.0
laimbbi01w,8,DET,0,23.0,11.0,7.0,3.0
laimbbi01w,9,DET,0,24.0,10.0,6.0,5.0
laimbbi01w,10,DET,1,22.0,12.0,7.0,2.0
maherto99w,2,WAS,0,16.67,15.33,1.33,1.0
mahorri01w,10,DET,2,17.92,16.08,2.08,2.0
mcconsu01w,4,MIN,0,17.1,13.9,1.7,1.5
mcconsu01w,5,MIN,0,18.0,16.0,1.0,2.0
mcconsu01w,6,MIN,0,18.0,16.0,0.0,2.0
mcconsu01w,7,MIN,1,14.0,20.0,0.0,0.0
mchugma99w,2,SAC,2,16.67,15.33,1.33,1.0
mchugma99w,3,SAC,0,14.0,6.0,3.0,2.0
mchugma99w,4,SAC,1,14.0,18.0,0.0,0.0
meadoma99w,9,ATL,0,15.36,16.73,1.0,1.45
meadoma99w,10,ATL,0,4.0,30.0,0.0,0.0
overtbo99w,8,CHI,0,17.3,13.3,1.2,1.3
peckca99wc,2,ORL,0,16.0,16.0,1.0,2.0
plankju99w,10,WAS,0,17.92,16.08,2.08,2.0
rollitr01w,8,WAS,2,17.3,13.3,1.2,1.3
rollitr01w,9,WAS,1,16.0,14.0,0.0,0.0
rothsro99w,2,MIA,0,13.0,19.0,0.0,0.0
rothsro99w,3,MIA,0,20.0,12.0,1.0,2.0
sharpli99w,3,PHO,2,15.86,14.36,1.29,1.29
shumajo01w,4,PHO,0,17.1,13.9,1.7,1.5
stanlma99w,3,WAS,0,15.86,14.36,1.29,1.29
stanlma99w,4,WAS,0,17.0,15.0,3.0,2.0
thibami99w,4,CON,0,17.1,13.9,1.7,1.5
thibami99w,5,CON,0,18.0,16.0,2.0,2.0
thibami99w,6,CON,0,18.0,16.0,5.0,3.0
thibami99w,7,CON,0,26.0,8.0,5.0,3.0
thibami99w,8,CON,0,26.0,8.0,3.0,2.0
thibami99w,9,CON,0,18.0,16.0,1.0,2.0
thibami99w,10,CON,0,21.0,13.0,1.0,2.0
thompka99w,5,LAS,2,17.36,12.82,1.64,1.55
thompka99w,8,HOU,0,11.0,3.0,1.0,2.0
thompka99w,9,HOU,0,13.0,21.0,0.0,0.0
vandehe99w,3,MIN,2,15.86,14.36,1.29,1.29
weisery99w,5,LAS,2,17.36,12.82,1.64,1.55
westhpa99w,7,PHO,0,15.75,13.92,1.42,1.42
westhpa99w,8,PHO,0,18.0,16.0,0.0,0.0
whisejo99w,4,SAC,2,17.1,13.9,1.7,1.5
whisejo99w,5,SAC,0,12.0,4.0,3.0,3.0
whisejo99w,6,SAC,0,18.0,16.0,3.0,3.0
whisejo99w,7,SAC,0,25.0,9.0,7.0,1.0
whisejo99w,10,SAC,2,21.0,13.0,6.0,3.0
willifr99w,2,UTA,1,18.0,14.0,0.0,0.0
willigr99w,2,DET,0,16.67,15.33,1.33,1.0
willigr99w,3,DET,1,10.0,22.0,0.0,0.0
wintebr01w,5,IND,0,17.36,12.82,1.64,1.55
wintebr01w,6,IND,0,15.0,19.0,0.0,0.0
wintebr01w,7,IND,0,21.0,13.0,2.0,2.0
wintebr01w,8,IND,0,21.0,13.0,0.0,2.0
zierddo99w,8,MIN,0,17.3,13.3,1.2,1.3
zierddo99w,9,MIN,0,10.0,24.0,0.0,0.0
aglerbr99w,11,SEA,0,20.0,14.0,1.0,2.0
chatmda99w,11,CHI,0,15.56,15.89,1.67,1.56
dunnli99wc,11,IND,0,22.0,12.0,6.0,4.0
gaineco01w,11,PHO,0,23.0,11.0,7.0,4.0
gilloje01w,11,LAS,0,14.0,20.0,0.0,0.0
hugheda99w,11,SAS,0,15.0,19.0,1.0,2.0
laceytr99w,11,WAS,0,3.0,21.0,0.0,0.0
meadoma99w,11,ATL,0,18.0,16.0,0.0,2.0
reevech99w,11,MIN,0,15.56,15.89,1.67,1.56
richano99w,11,TUL,0,15.56,15.89,1.67,1.56
thibami99w,11,CON,0,16.0,18.0,0.0,0.0
whisejo99w,11,NYL,0,9.0,12.0,0.0,0.0
