playerID,year,stint,tmID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,num_awards
alhalta01w,2,0,ORL,27.47,15.65,612.86,211.84,30.0,62.37,92.37,47.2,24.88,10.88,46.06,62.03,178.46,77.47,60.54,44.63,37.18,12.27,0.68,1.69,0.94,39.12,12.03,2.0,4.03,6.03,2.86,1.51,0.62,2.58,3.48,10.52,4.54,2.79,2.14,2.45,0.81,0.03,0.02
allench01w,9,0,SAC,26.3,13.75,549.16,209.96,28.39,66.05,94.44,44.4,21.72,10.61,42.77,53.46,179.59,76.48,55.67,42.66,40.99,14.34,0.44,2.46,1.36,56.15,22.09,2.92,7.19,10.11,4.72,1.89,1.15,3.64,5.21,19.28,8.05,5.13,3.95,5.4,2.05,0.05,0.07
amachma01w,2,0,NYL,27.47,15.65,612.86,211.84,30.0,62.37,92.37,47.2,24.88,10.88,46.06,62.03,178.46,77.47,60.54,44.63,37.18,12.27,0.68,1.69,0.94,39.12,12.03,2.0,4.03,6.03,2.86,1.51,0.62,2.58,3.48,10.52,4.54,2.79,2.14,2.45,0.81,0.03,0.02
amachma01w,4,0,SEA,2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amachma01w,6,0,WAS,7.0,0.0,47.0,8.0,4.0,10.0,14.0,0.0,5.0,2.0,9.0,3.0,10.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ambermo01w,3,0,SAC,25.23,13.75,548.8,181.49,26.81,57.19,84.0,40.49,21.88,9.7,39.26,50.48,160.77,66.49,49.2,36.53,35.69,11.98,0.41,1.74,1.06,41.03,13.2,1.91,4.14,6.05,3.08,1.38,0.95,2.43,3.52,11.93,4.9,3.33,2.48,2.82,0.93,0.02,0.05
anderam01w,7,1,CON,25.54,14.06,551.91,185.83,24.96,56.79,81.75,42.45,20.43,9.74,39.28,53.91,160.15,67.6,52.41,38.9,34.99,11.74,0.55,2.0,1.09,44.98,14.88,1.82,4.73,6.55,3.21,1.47,0.67,2.84,4.28,12.66,5.27,4.5,3.36,2.66,0.98,0.04,0.04
anderam01w,7,2,NYL,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anderch01w,4,0,SAC,26.12,15.6,604.13,208.08,28.55,61.69,90.24,47.04,23.71,11.16,42.62,55.83,178.36,75.29,57.52,43.31,41.07,14.19,0.53,1.78,1.11,44.72,16.41,2.01,4.64,6.66,3.96,1.6,0.72,2.72,3.83,13.91,6.03,4.09,3.11,3.47,1.23,0.02,0.05
anderch01w,5,0,SAC,26.0,0.0,171.0,42.0,7.0,17.0,24.0,5.0,5.0,5.0,17.0,33.0,44.0,19.0,12.0,4.0,0.0,0.0,1.0,5.0,0.0,29.0,7.0,0.0,3.0,3.0,0.0,0.0,2.0,4.0,7.0,5.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0
anderch01w,6,0,SAS,30.0,0.0,231.0,77.0,14.0,20.0,34.0,5.0,3.0,6.0,25.0,46.0,64.0,25.0,37.0,27.0,0.0,0.0,0.0,2.0,0.0,11.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
anderch01w,7,0,SAS,34.0,19.0,669.0,203.0,28.0,62.0,90.0,11.0,8.0,15.0,55.0,106.0,178.0,83.0,46.0,37.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anderch01w,8,0,SAS,23.0,20.0,414.0,153.0,28.0,57.0,85.0,15.0,7.0,10.0,29.0,73.0,112.0,59.0,45.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anderjo01w,9,0,CON,26.3,13.75,549.16,209.96,28.39,66.05,94.44,44.4,21.72,10.61,42.77,53.46,179.59,76.48,55.67,42.66,40.99,14.34,0.44,2.46,1.36,56.15,22.09,2.92,7.19,10.11,4.72,1.89,1.15,3.64,5.21,19.28,8.05,5.13,3.95,5.4,2.05,0.05,0.07
anderke01w,2,0,CHA,30.0,9.0,434.0,75.0,12.0,34.0,46.0,75.0,25.0,3.0,47.0,53.0,68.0,29.0,18.0,14.0,8.0,3.0,0.0,2.0,2.0,30.0,2.0,2.0,3.0,5.0,5.0,0.0,0.0,4.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
anderke01w,3,0,CHA,18.0,0.0,102.0,12.0,3.0,12.0,15.0,14.0,6.0,0.0,17.0,8.0,16.0,2.0,10.0,8.0,2.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
andrame01w,2,0,CLE,32.0,18.0,797.0,265.0,32.0,63.0,95.0,75.0,41.0,10.0,65.0,91.0,195.0,89.0,80.0,60.0,75.0,27.0,1.0,6.0,5.0,166.0,21.0,5.0,12.0,17.0,14.0,6.0,3.0,11.0,17.0,33.0,8.0,9.0,5.0,9.0,0.0,0.0,0.0
andrame01w,3,0,CLE,32.0,32.0,893.0,152.0,21.0,66.0,87.0,100.0,51.0,10.0,61.0,77.0,171.0,58.0,45.0,30.0,30.0,6.0,0.0,3.0,3.0,72.0,13.0,5.0,4.0,9.0,1.0,2.0,2.0,7.0,9.0,17.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0
andrame01w,5,0,CHA,32.0,16.0,665.0,91.0,17.0,39.0,56.0,67.0,29.0,6.0,41.0,82.0,111.0,34.0,23.0,18.0,26.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anosini01w,9,0,MIN,26.3,13.75,549.16,209.96,28.39,66.05,94.44,44.4,21.72,10.61,42.77,53.46,179.59,76.48,55.67,42.66,40.99,14.34,0.44,2.46,1.36,56.15,22.09,2.92,7.19,10.11,4.72,1.89,1.15,3.64,5.21,19.28,8.05,5.13,3.95,5.4,2.05,0.05,0.07
anosini01w,10,0,MIN,34.0,34.0,920.0,314.0,78.0,153.0,231.0,45.0,75.0,43.0,42.0,125.0,226.0,99.0,166.0,116.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arcaija01w,2,0,HOU,32.0,32.0,977.0,268.0,36.0,83.0,119.0,60.0,42.0,3.0,53.0,66.0,233.0,109.0,49.0,41.0,45.0,9.0,1.0,6.0,6.0,201.0,50.0,6.0,21.0,27.0,12.0,10.0,0.0,16.0,14.0,47.0,21.0,7.0,6.0,7.0,2.0,0.0,0.0
arcaija01w,3,0,HOU,32.0,32.0,1154.0,591.0,49.0,87.0,136.0,94.0,60.0,3.0,83.0,82.0,509.0,217.0,150.0,135.0,66.0,22.0,1.0,2.0,2.0,71.0,29.0,2.0,9.0,11.0,5.0,2.0,0.0,5.0,5.0,34.0,13.0,2.0,2.0,8.0,1.0,0.0,1.0
arcaija01w,4,0,HOU,32.0,32.0,1116.0,364.0,42.0,84.0,126.0,86.0,51.0,6.0,71.0,49.0,302.0,128.0,111.0,98.0,37.0,10.0,0.0,3.0,3.0,119.0,39.0,2.0,9.0,11.0,4.0,5.0,1.0,5.0,11.0,35.0,15.0,8.0,7.0,7.0,2.0,0.0,0.0
arcaija01w,6,0,HOU,34.0,34.0,1136.0,390.0,24.0,112.0,136.0,67.0,41.0,1.0,50.0,64.0,324.0,151.0,94.0,79.0,37.0,9.0,0.0,3.0,3.0,107.0,37.0,6.0,8.0,14.0,3.0,8.0,0.0,7.0,5.0,31.0,12.0,13.0,12.0,5.0,1.0,0.0,0.0
askamma01w,2,0,MIA,32.0,32.0,869.0,251.0,96.0,135.0,231.0,29.0,17.0,21.0,49.0,95.0,209.0,85.0,117.0,80.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
askamma01w,3,2,LAS,30.0,11.0,431.0,74.0,35.0,52.0,87.0,15.0,12.0,11.0,19.0,62.0,58.0,28.0,32.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
askamma01w,3,1,MIA,20.0,4.0,215.0,61.0,24.0,25.0,49.0,4.0,11.0,4.0,11.0,25.0,55.0,26.0,14.0,9.0,1.0,0.0,0.0,4.0,3.0,24.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
atkinla01w,7,0,IND,25.54,14.06,551.91,185.83,24.96,56.79,81.75,42.45,20.43,9.74,39.28,53.91,160.15,67.6,52.41,38.9,34.99,11.74,0.55,2.0,1.09,44.98,14.88,1.82,4.73,6.55,3.21,1.47,0.67,2.84,4.28,12.66,5.27,4.5,3.36,2.66,0.98,0.04,0.04
atkinla01w,8,0,SAC,33.0,1.0,417.0,99.0,25.0,51.0,76.0,22.0,18.0,5.0,34.0,31.0,87.0,38.0,39.0,18.0,17.0,5.0,0.0,2.0,0.0,29.0,6.0,10.0,7.0,17.0,3.0,1.0,2.0,2.0,2.0,9.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0
atkinla01w,9,0,SAC,28.0,0.0,226.0,58.0,13.0,31.0,44.0,15.0,10.0,5.0,33.0,15.0,47.0,22.0,19.0,14.0,2.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atkinla01w,10,0,SEA,5.0,1.0,73.0,14.0,3.0,11.0,14.0,8.0,5.0,2.0,10.0,5.0,16.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atunrmo01w,9,0,SAS,26.3,13.75,549.16,209.96,28.39,66.05,94.44,44.4,21.72,10.61,42.77,53.46,179.59,76.48,55.67,42.66,40.99,14.34,0.44,2.46,1.36,56.15,22.09,2.92,7.19,10.11,4.72,1.89,1.15,3.64,5.21,19.28,8.05,5.13,3.95,5.4,2.05,0.05,0.07
augusse01w,7,0,MIN,25.54,14.06,551.91,185.83,24.96,56.79,81.75,42.45,20.43,9.74,39.28,53.91,160.15,67.6,52.41,38.9,34.99,11.74,0.55,2.0,1.09,44.98,14.88,1.82,4.73,6.55,3.21,1.47,0.67,2.84,4.28,12.66,5.27,4.5,3.36,2.66,0.98,0.04,0.04
augusse01w,8,0,MIN,34.0,34.0,1124.0,744.0,15.0,113.0,128.0,50.0,21.0,18.0,71.0,58.0,620.0,283.0,165.0,148.0,85.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
augusse01w,9,0,MIN,34.0,34.0,1093.0,769.0,37.0,99.0,136.0,79.0,41.0,21.0,83.0,58.0,583.0,296.0,173.0,151.0,62.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
augusse01w,10,0,MIN,31.0,31.0,1042.0,591.0,28.0,92.0,120.0,83.0,32.0,12.0,52.0,46.0,496.0,233.0,118.0,105.0,63.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
azizle01w,4,0,IND,26.12,15.6,604.13,208.08,28.55,61.69,90.24,47.04,23.71,11.16,42.62,55.83,178.36,75.29,57.52,43.31,41.07,14.19,0.53,1.78,1.11,44.72,16.41,2.01,4.64,6.66,3.96,1.6,0.72,2.72,3.83,13.91,6.03,4.09,3.11,3.47,1.23,0.02,0.05
azzije01w,2,0,UTA,15.0,15.0,559.0,144.0,5.0,36.0,41.0,92.0,12.0,5.0,28.0,43.0,104.0,47.0,43.0,40.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
azzije01w,3,0,UTA,32.0,32.0,1205.0,276.0,10.0,88.0,98.0,171.0,22.0,10.0,69.0,89.0,184.0,75.0,96.0,88.0,74.0,38.0,1.0,2.0,2.0,75.0,9.0,0.0,3.0,3.0,10.0,1.0,1.0,5.0,7.0,12.0,3.0,1.0,1.0,7.0,2.0,0.0,0.0
azzije01w,4,0,SAS,32.0,32.0,1151.0,306.0,15.0,54.0,69.0,158.0,27.0,14.0,67.0,102.0,198.0,91.0,104.0,83.0,92.0,41.0,0.0,5.0,5.0,186.0,40.0,2.0,11.0,13.0,34.0,4.0,5.0,8.0,20.0,33.0,13.0,8.0,7.0,19.0,7.0,0.0,0.0
badertr01w,2,0,CLE,25.0,0.0,201.0,47.0,2.0,9.0,11.0,21.0,17.0,1.0,18.0,16.0,48.0,17.0,6.0,5.0,24.0,8.0,0.0,5.0,0.0,36.0,8.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,9.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0
badertr01w,3,0,CLE,19.0,0.0,114.0,21.0,2.0,10.0,12.0,11.0,5.0,0.0,8.0,7.0,20.0,8.0,0.0,0.0,13.0,5.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
bakersh01w,7,0,NYL,25.54,14.06,551.91,185.83,24.96,56.79,81.75,42.45,20.43,9.74,39.28,53.91,160.15,67.6,52.41,38.9,34.99,11.74,0.55,2.0,1.09,44.98,14.88,1.82,4.73,6.55,3.21,1.47,0.67,2.84,4.28,12.66,5.27,4.5,3.36,2.66,0.98,0.04,0.04
bakersh01w,8,2,LAS,34.0,16.0,614.0,251.0,23.0,33.0,56.0,35.0,46.0,2.0,50.0,69.0,251.0,97.0,56.0,48.0,33.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bakersh01w,8,1,NYL,24.0,11.0,492.0,203.0,17.0,52.0,69.0,77.0,36.0,2.0,65.0,58.0,192.0,63.0,84.0,70.0,33.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bakersh01w,9,0,IND,3.0,0.0,13.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bakersh01w,10,0,DET,13.0,0.0,110.0,49.0,7.0,15.0,22.0,15.0,9.0,1.0,11.0,15.0,37.0,12.0,34.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balesal01w,8,0,IND,27.63,15.03,590.39,224.03,29.59,68.73,98.32,47.71,23.73,9.81,43.11,57.02,190.87,81.15,62.0,47.06,43.3,14.66,0.41,2.11,1.27,47.78,17.62,2.66,5.57,8.24,3.76,1.55,0.91,3.1,4.73,15.76,6.45,4.92,3.58,3.32,1.13,0.03,0.1
balesal01w,9,2,ATL,17.0,0.0,169.0,55.0,12.0,33.0,45.0,2.0,4.0,13.0,7.0,14.0,42.0,24.0,8.0,7.0,0.0,0.0,0.0,4.0,0.0,17.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balesal01w,9,1,IND,17.0,9.0,389.0,82.0,20.0,82.0,102.0,11.0,15.0,29.0,10.0,37.0,74.0,30.0,31.0,21.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baranel01w,2,0,MIA,27.47,15.65,612.86,211.84,30.0,62.37,92.37,47.2,24.88,10.88,46.06,62.03,178.46,77.47,60.54,44.63,37.18,12.27,0.68,1.69,0.94,39.12,12.03,2.0,4.03,6.03,2.86,1.51,0.62,2.58,3.48,10.52,4.54,2.79,2.14,2.45,0.81,0.03,0.02
baranel01w,4,0,NYL,32.0,30.0,984.0,378.0,40.0,151.0,191.0,63.0,33.0,57.0,62.0,81.0,330.0,141.0,71.0,66.0,80.0,30.0,2.0,3.0,3.0,105.0,44.0,7.0,11.0,18.0,7.0,2.0,2.0,9.0,9.0,33.0,15.0,11.0,8.0,11.0,6.0,0.0,0.0
baranel01w,5,0,NYL,33.0,7.0,850.0,278.0,45.0,136.0,181.0,64.0,36.0,43.0,62.0,69.0,257.0,107.0,35.0,31.0,91.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baranel01w,6,0,NYL,34.0,33.0,1048.0,394.0,33.0,213.0,246.0,67.0,37.0,58.0,80.0,88.0,315.0,146.0,53.0,49.0,115.0,53.0,0.0,5.0,5.0,154.0,42.0,7.0,27.0,34.0,10.0,4.0,9.0,12.0,18.0,38.0,15.0,10.0,8.0,13.0,4.0,0.0,0.0
barksla01w,2,0,POR,27.47,15.65,612.86,211.84,30.0,62.37,92.37,47.2,24.88,10.88,46.06,62.03,178.46,77.47,60.54,44.63,37.18,12.27,0.68,1.69,0.94,39.12,12.03,2.0,4.03,6.03,2.86,1.51,0.62,2.58,3.48,10.52,4.54,2.79,2.14,2.45,0.81,0.03,0.02
barksla01w,3,0,POR,5.0,0.0,35.0,2.0,1.0,5.0,6.0,4.0,2.0,0.0,1.0,3.0,10.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barksla01w,4,0,SAS,17.0,3.0,285.0,100.0,18.0,22.0,40.0,12.0,8.0,7.0,23.0,31.0,101.0,36.0,26.0,23.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barnead01w,2,0,CLE,5.0,0.0,18.0,8.0,2.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,5.0,3.0,4.0,2.0,1.0,0.0,0.0,4.0,0.0,6.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
barnead01w,3,0,SEA,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barnead01w,4,0,SEA,26.0,17.0,493.0,90.0,45.0,57.0,102.0,28.0,32.0,9.0,25.0,64.0,111.0,37.0,29.0,15.0,4.0,1.0,1.0,2.0,2.0,50.0,10.0,3.0,5.0,8.0,3.0,3.0,0.0,7.0,4.0,9.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0
barnead01w,5,0,SEA,16.0,16.0,396.0,88.0,26.0,39.0,65.0,23.0,11.0,7.0,18.0,36.0,84.0,32.0,21.0,12.0,31.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barnequ01w,2,0,SEA,31.0,23.0,705.0,209.0,27.0,57.0,84.0,33.0,19.0,33.0,62.0,103.0,213.0,89.0,56.0,30.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barnequ01w,3,0,PHO,20.0,3.0,229.0,68.0,14.0,20.0,34.0,11.0,9.0,6.0,16.0,29.0,59.0,23.0,27.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
batkosu01w,6,0,SEA,26.65,15.15,595.55,202.63,28.15,62.64,90.79,45.87,22.75,11.35,41.56,56.01,175.03,74.17,56.05,41.7,35.87,12.58,0.49,2.27,1.3,51.9,17.12,2.49,5.36,7.85,3.75,2.1,1.04,3.58,4.45,15.18,6.27,4.4,3.37,3.32,1.21,0.01,0.04
batkosu01w,10,0,SEA,29.0,0.0,461.0,199.0,26.0,68.0,94.0,26.0,17.0,24.0,32.0,85.0,174.0,76.0,58.0,45.0,7.0,2.0,1.0,3.0,0.0,43.0,14.0,2.0,8.0,10.0,0.0,0.0,2.0,5.0,8.0,12.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0
